"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1012.1","18.5","85"
"2",2019-03-25 02:00:00,"0.0","1010.9","18.3","84"
"3",2019-03-25 03:00:00,"0.0","1011.0","18.2","86"
"4",2019-03-25 04:00:00,"0.0","1011.0","18.2","86"
"5",2019-03-25 05:00:00,"0.0","1011.5","18.3","85"
"6",2019-03-25 06:00:00,"0.0","1011.7","18.5","84"
"7",2019-03-25 07:00:00,"0.0","1012.1","18.4","87"
"8",2019-03-25 08:00:00,"0.0","1013.4","18.8","86"
"9",2019-03-25 09:00:00,"2.5","1013.1","18.8","90"
"10",2019-03-25 10:00:00,"1.0","1013.7","19.1","90"
"11",2019-03-25 11:00:00,"2.0","1013.9","19.3","92"
"12",2019-03-25 12:00:00,"0.5","1013.3","19.6","91"
"13",2019-03-25 13:00:00,"3.5","1013.0","18.6","92"
"14",2019-03-25 14:00:00,"4.5","1013.1","18.8","91"
"15",2019-03-25 15:00:00,"0.5","1012.6","19.0","90"
"16",2019-03-25 16:00:00,"0.0","1012.8","18.5","90"
"17",2019-03-25 17:00:00,"0.0","1012.6","18.2","91"
"18",2019-03-25 18:00:00,"0.0","1012.9","18.0","93"
"19",2019-03-25 19:00:00,"0.0","1013.5","18.1","92"
"20",2019-03-25 20:00:00,"0.0","1014.1","18.6","88"
"21",2019-03-25 21:00:00,"0.0","1014.9","18.8","87"
"22",2019-03-25 22:00:00,"0.0","1015.2","19.0","86"
"23",2019-03-25 23:00:00,"0.0","1015.6","18.9","87"
"24",2019-03-26 00:00:00,"0.0","1015.8","18.5","89"
