"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1012.6","17.1","94"
"2",2019-03-25 02:00:00,"0.0","1011.3","17.0","94"
"3",2019-03-25 03:00:00,"0.0","1011.8","16.8","95"
"4",2019-03-25 04:00:00,"0.0","1011.9","17.2","93"
"5",2019-03-25 05:00:00,"0.0","1012.2","17.8","90"
"6",2019-03-25 06:00:00,"0.0","1012.4","18.0","90"
"7",2019-03-25 07:00:00,"0.0","1013.0","18.0","92"
"8",2019-03-25 08:00:00,"2.0","1013.9","18.2","94"
"9",2019-03-25 09:00:00,"3.5","1013.8","18.5","95"
"10",2019-03-25 10:00:00,"1.0","1014.9","18.7","95"
"11",2019-03-25 11:00:00,"1.5","1014.6","18.8","95"
"12",2019-03-25 12:00:00,"0.0","1014.7","18.0","94"
"13",2019-03-25 13:00:00,"7.0","1014.3","17.5","96"
"14",2019-03-25 14:00:00,"1.5","1013.9","18.3","91"
"15",2019-03-25 15:00:00,"0.0","1013.9","18.0","93"
"16",2019-03-25 16:00:00,"0.0","1013.6","18.0","94"
"17",2019-03-25 17:00:00,"0.0","1013.6","18.0","94"
"18",2019-03-25 18:00:00,"0.0","1013.7","18.0","93"
"19",2019-03-25 19:00:00,"0.0","1014.3","18.1","94"
"20",2019-03-25 20:00:00,"0.0","1015.0","18.0","94"
"21",2019-03-25 21:00:00,"0.0","1015.7","18.0","94"
"22",2019-03-25 22:00:00,"0.0","1016.0","18.0","93"
"23",2019-03-25 23:00:00,"0.0","1016.3","18.0","92"
"24",2019-03-26 00:00:00,"0.0","1016.4","17.9","87"
