"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","935.9","15.4","100"
"2",2019-03-25 02:00:00,"0.0","934.7","15.2","100"
"3",2019-03-25 03:00:00,"0.0","934.8","15.1","100"
"4",2019-03-25 04:00:00,"0.0","934.4","15.4","100"
"5",2019-03-25 05:00:00,"0.0","934.8","16.6","100"
"6",2019-03-25 06:00:00,"0.0","935.6","15.7","100"
"7",2019-03-25 07:00:00,"0.0","936.4","16.2","100"
"8",2019-03-25 08:00:00,"0.0","936.6","17.2","100"
"9",2019-03-25 09:00:00,"0.0","937.3","18.7","99"
"10",2019-03-25 10:00:00,"0.0","937.5","19.7","95"
"11",2019-03-25 11:00:00,"0.0","937.2","22.1","79"
"12",2019-03-25 12:00:00,"0.0","936.9","22.7","77"
"13",2019-03-25 13:00:00,"0.0","936.2","23.1","73"
"14",2019-03-25 14:00:00,"0.0","935.9","21.9","77"
"15",2019-03-25 15:00:00,"0.0","935.5","22.7","74"
"16",2019-03-25 16:00:00,"0.0","935.5","22.5","77"
"17",2019-03-25 17:00:00,"0.0","935.1","22.8","72"
"18",2019-03-25 18:00:00,"0.0","935.1","20.9","76"
"19",2019-03-25 19:00:00,"0.0","935.6","20.4","76"
"20",2019-03-25 20:00:00,"0.0","936.2","19.8","80"
"21",2019-03-25 21:00:00,"0.0","936.8","19.6","82"
"22",2019-03-25 22:00:00,"0.0","937.0","19.7","79"
"23",2019-03-25 23:00:00,"0.0","936.8","19.7","75"
"24",2019-03-26 00:00:00,"0.0","936.7","19.4","74"
