"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","984.2","16.6","100"
"2",2019-03-25 02:00:00,"0.0","983.4","16.4","100"
"3",2019-03-25 03:00:00,"0.0","983.1","16.1","100"
"4",2019-03-25 04:00:00,"0.0","983.0","16.0","100"
"5",2019-03-25 05:00:00,"0.0","983.7","16.3","100"
"6",2019-03-25 06:00:00,"0.0","984.3","16.6","100"
"7",2019-03-25 07:00:00,"0.0","984.4","17.1","100"
"8",2019-03-25 08:00:00,"0.0","985.1","17.7","100"
"9",2019-03-25 09:00:00,"0.0","985.3","20.0","99"
"10",2019-03-25 10:00:00,"0.0","985.7","21.8","92"
"11",2019-03-25 11:00:00,"0.0","985.6","22.4","82"
"12",2019-03-25 12:00:00,"0.0","985.1","23.7","75"
"13",2019-03-25 13:00:00,"0.0","984.5","24.9","78"
"14",2019-03-25 14:00:00,"0.0","983.8","24.9","75"
"15",2019-03-25 15:00:00,"0.0","/","/","/"
"16",2019-03-25 16:00:00,"0.0","983.2","25.1","76"
"17",2019-03-25 17:00:00,"0.0","982.9","24.2","88"
"18",2019-03-25 18:00:00,"0.0","983.0","22.7","93"
"19",2019-03-25 19:00:00,"0.0","983.3","21.2","90"
"20",2019-03-25 20:00:00,"0.0","984.0","20.3","97"
"21",2019-03-25 21:00:00,"0.0","984.8","19.4","99"
"22",2019-03-25 22:00:00,"0.0","985.1","18.9","99"
"23",2019-03-25 23:00:00,"0.0","985.0","18.3","100"
"24",2019-03-26 00:00:00,"0.0","984.8","17.6","100"
