"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","789.8","8.6","98"
"2",2019-03-25 02:00:00,"0.0","789.4","8.7","97"
"3",2019-03-25 03:00:00,"0.0","789.0","8.5","98"
"4",2019-03-25 04:00:00,"0.0","788.8","9.1","98"
"5",2019-03-25 05:00:00,"0.0","789.1","9.2","98"
"6",2019-03-25 06:00:00,"0.0","789.6","8.9","98"
"7",2019-03-25 07:00:00,"0.0","790.1","9.2","98"
"8",2019-03-25 08:00:00,"0.0","790.7","9.6","97"
"9",2019-03-25 09:00:00,"0.0","791.3","9.7","97"
"10",2019-03-25 10:00:00,"0.0","791.3","9.5","98"
"11",2019-03-25 11:00:00,"2.0","791.5","9.6","99"
"12",2019-03-25 12:00:00,"0.5","/","/","/"
"13",2019-03-25 13:00:00,"0.0","790.7","9.6","99"
"14",2019-03-25 14:00:00,"2.0","790.2","9.8","99"
"15",2019-03-25 15:00:00,"5.5","790.3","9.5","99"
"16",2019-03-25 16:00:00,"0.5","790.7","9.7","99"
"17",2019-03-25 17:00:00,"0.0","791.0","9.9","99"
"18",2019-03-25 18:00:00,"0.0","791.1","9.7","99"
"19",2019-03-25 19:00:00,"0.0","791.4","9.3","99"
"20",2019-03-25 20:00:00,"0.0","791.9","8.5","99"
"21",2019-03-25 21:00:00,"0.0","792.4","8.3","99"
"22",2019-03-25 22:00:00,"0.0","792.6","7.7","99"
"23",2019-03-25 23:00:00,"0.0","792.3","5.8","99"
"24",2019-03-26 00:00:00,"0.0","792.1","5.3","99"
