"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","996.4","17.2","99"
"2",2019-03-25 02:00:00,"0.0","995.8","17.1","99"
"3",2019-03-25 03:00:00,"0.0","995.3","18.8","88"
"4",2019-03-25 04:00:00,"0.0","996.0","16.6","99"
"5",2019-03-25 05:00:00,"0.0","996.9","17.1","99"
"6",2019-03-25 06:00:00,"0.0","996.8","17.6","99"
"7",2019-03-25 07:00:00,"0.0","996.8","17.9","99"
"8",2019-03-25 08:00:00,"0.0","997.7","19.2","99"
"9",2019-03-25 09:00:00,"0.0","999.0","20.1","89"
"10",2019-03-25 10:00:00,"0.0","998.7","22.1","75"
"11",2019-03-25 11:00:00,"0.0","998.7","21.7","79"
"12",2019-03-25 12:00:00,"0.0","998.6","20.4","100"
"13",2019-03-25 13:00:00,"0.0","998.0","21.5","86"
"14",2019-03-25 14:00:00,"0.0","997.2","22.1","82"
"15",2019-03-25 15:00:00,"0.0","996.4","21.3","97"
"16",2019-03-25 16:00:00,"0.0","996.6","20.6","100"
"17",2019-03-25 17:00:00,"0.0","996.4","21.5","96"
"18",2019-03-25 18:00:00,"0.0","996.2","21.1","100"
"19",2019-03-25 19:00:00,"0.0","996.9","20.2","99"
"20",2019-03-25 20:00:00,"0.0","997.3","20.0","100"
"21",2019-03-25 21:00:00,"0.0","998.0","18.9","99"
"22",2019-03-25 22:00:00,"0.0","998.2","18.5","99"
"23",2019-03-25 23:00:00,"0.0","998.2","17.8","99"
"24",2019-03-26 00:00:00,"0.0","998.3","17.6","99"
