"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","993.1","16.9","99"
"2",2019-03-25 02:00:00,"0.0","992.3","16.9","99"
"3",2019-03-25 03:00:00,"0.0","991.8","16.9","99"
"4",2019-03-25 04:00:00,"0.0","991.3","17.0","99"
"5",2019-03-25 05:00:00,"0.0","991.2","16.9","99"
"6",2019-03-25 06:00:00,"0.0","991.6","16.9","99"
"7",2019-03-25 07:00:00,"0.0","992.4","17.2","99"
"8",2019-03-25 08:00:00,"0.0","992.5","18.8","96"
"9",2019-03-25 09:00:00,"0.0","990.8","21.7","78"
"10",2019-03-25 10:00:00,"0.0","991.3","24.0","68"
"11",2019-03-25 11:00:00,"0.0","990.6","25.5","65"
"12",2019-03-25 12:00:00,"0.0","989.9","26.2","63"
"13",2019-03-25 13:00:00,"0.0","989.1","27.7","65"
"14",2019-03-25 14:00:00,"0.0","988.8","25.9","72"
"15",2019-03-25 15:00:00,"0.0","988.7","25.3","74"
"16",2019-03-25 16:00:00,"0.0","989.2","24.3","77"
"17",2019-03-25 17:00:00,"0.0","989.8","22.9","82"
"18",2019-03-25 18:00:00,"0.0","990.5","22.2","84"
"19",2019-03-25 19:00:00,"0.0","990.1","21.6","87"
"20",2019-03-25 20:00:00,"0.0","991.6","20.8","90"
"21",2019-03-25 21:00:00,"0.0","992.9","20.2","97"
"22",2019-03-25 22:00:00,"0.0","993.4","20.5","91"
"23",2019-03-25 23:00:00,"0.0","993.7","20.5","92"
"24",2019-03-26 00:00:00,"0.0","994.0","20.0","99"
