"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1011.6","17.0","99"
"2",2019-03-25 02:00:00,"0.0","1010.9","16.8","99"
"3",2019-03-25 03:00:00,"0.0","1010.7","16.4","99"
"4",2019-03-25 04:00:00,"0.0","1010.9","16.2","99"
"5",2019-03-25 05:00:00,"0.5","1011.9","16.5","99"
"6",2019-03-25 06:00:00,"0.0","1011.8","16.9","99"
"7",2019-03-25 07:00:00,"0.0","1011.8","17.4","99"
"8",2019-03-25 08:00:00,"0.0","1012.8","18.1","99"
"9",2019-03-25 09:00:00,"0.0","1013.7","19.6","92"
"10",2019-03-25 10:00:00,"0.0","1013.7","21.5","79"
"11",2019-03-25 11:00:00,"0.0","1013.9","21.3","82"
"12",2019-03-25 12:00:00,"0.0","1013.5","20.6","91"
"13",2019-03-25 13:00:00,"0.0","/","/","/"
"14",2019-03-25 14:00:00,"0.0","1012.0","21.6","86"
"15",2019-03-25 15:00:00,"0.0","1011.5","21.5","86"
"16",2019-03-25 16:00:00,"0.0","1011.3","21.5","85"
"17",2019-03-25 17:00:00,"0.0","1011.3","21.5","87"
"18",2019-03-25 18:00:00,"0.0","1011.2","21.3","87"
"19",2019-03-25 19:00:00,"0.0","1011.7","20.6","91"
"20",2019-03-25 20:00:00,"0.0","1012.3","20.1","93"
"21",2019-03-25 21:00:00,"0.0","1013.0","19.6","95"
"22",2019-03-25 22:00:00,"0.0","1013.2","19.2","96"
"23",2019-03-25 23:00:00,"0.0","1013.2","18.8","97"
"24",2019-03-26 00:00:00,"0.0","1013.3","18.4","97"
