"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1014.6","18.6","96"
"2",2019-03-25 02:00:00,"0.0","1013.9","18.6","96"
"3",2019-03-25 03:00:00,"0.0","1013.4","18.5","97"
"4",2019-03-25 04:00:00,"0.0","1013.5","18.3","97"
"5",2019-03-25 05:00:00,"0.0","1014.1","18.8","98"
"6",2019-03-25 06:00:00,"0.0","1014.7","18.4","97"
"7",2019-03-25 07:00:00,"0.0","1015.5","18.5","97"
"8",2019-03-25 08:00:00,"0.0","1015.7","20.1","93"
"9",2019-03-25 09:00:00,"0.0","1016.2","22.2","83"
"10",2019-03-25 10:00:00,"0.0","1016.0","24.5","63"
"11",2019-03-25 11:00:00,"0.0","1016.1","24.7","64"
"12",2019-03-25 12:00:00,"0.0","1015.5","25.5","63"
"13",2019-03-25 13:00:00,"0.0","1014.7","26.1","62"
"14",2019-03-25 14:00:00,"0.0","1014.0","27.6","56"
"15",2019-03-25 15:00:00,"0.0","1013.5","26.8","62"
"16",2019-03-25 16:00:00,"0.0","1013.0","26.4","58"
"17",2019-03-25 17:00:00,"0.0","1013.0","26.2","58"
"18",2019-03-25 18:00:00,"0.0","1013.3","25.1","64"
"19",2019-03-25 19:00:00,"0.0","1013.9","24.0","72"
"20",2019-03-25 20:00:00,"0.0","1014.5","22.7","77"
"21",2019-03-25 21:00:00,"0.0","1015.2","22.2","85"
"22",2019-03-25 22:00:00,"0.0","1015.5","22.0","87"
"23",2019-03-25 23:00:00,"0.0","1015.3","21.5","89"
"24",2019-03-26 00:00:00,"0.0","1015.4","20.8","92"
