"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"X","1003.3","18.4","99"
"2",2019-03-25 02:00:00,"0.0","1002.5","18.0","99"
"3",2019-03-25 03:00:00,"0.0","1001.9","17.8","99"
"4",2019-03-25 04:00:00,"0.0","1002.8","17.8","99"
"5",2019-03-25 05:00:00,"0.0","1003.7","18.1","99"
"6",2019-03-25 06:00:00,"0.0","1003.9","18.0","99"
"7",2019-03-25 07:00:00,"0.0","1004.0","18.4","99"
"8",2019-03-25 08:00:00,"0.0","1004.1","19.0","99"
"9",2019-03-25 09:00:00,"0.0","1004.9","20.8","91"
"10",2019-03-25 10:00:00,"0.0","1005.6","21.2","85"
"11",2019-03-25 11:00:00,"0.5","1005.8","20.0","95"
"12",2019-03-25 12:00:00,"0.0","1005.5","20.4","94"
"13",2019-03-25 13:00:00,"0.0","1005.0","20.1","97"
"14",2019-03-25 14:00:00,"0.0","1004.6","20.5","95"
"15",2019-03-25 15:00:00,"2.0","1003.8","20.1","99"
"16",2019-03-25 16:00:00,"0.0","1003.7","20.2","99"
"17",2019-03-25 17:00:00,"0.0","1003.5","20.8","98"
"18",2019-03-25 18:00:00,"0.0","1003.5","21.3","93"
"19",2019-03-25 19:00:00,"0.0","1003.9","20.8","96"
"20",2019-03-25 20:00:00,"0.0","1004.2","20.4","99"
"21",2019-03-25 21:00:00,"0.0","1004.9","19.7","99"
"22",2019-03-25 22:00:00,"0.0","1005.2","19.3","99"
"23",2019-03-25 23:00:00,"0.0","1005.1","18.9","99"
"24",2019-03-26 00:00:00,"0.0","1005.3","18.6","99"
