"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1007.1","19.0","95"
"2",2019-03-25 02:00:00,"0.0","1005.9","18.9","96"
"3",2019-03-25 03:00:00,"0.0","1006.1","18.7","98"
"4",2019-03-25 04:00:00,"0.0","1006.4","18.9","97"
"5",2019-03-25 05:00:00,"0.0","1007.0","19.3","95"
"6",2019-03-25 06:00:00,"0.0","1007.3","19.4","94"
"7",2019-03-25 07:00:00,"0.0","1007.4","19.3","95"
"8",2019-03-25 08:00:00,"0.0","1008.0","19.6","94"
"9",2019-03-25 09:00:00,"0.0","1008.9","20.2","90"
"10",2019-03-25 10:00:00,"0.0","1009.5","20.6","88"
"11",2019-03-25 11:00:00,"1.5","1009.3","20.3","92"
"12",2019-03-25 12:00:00,"0.5","1009.2","20.6","93"
"13",2019-03-25 13:00:00,"0.0","1008.9","20.3","94"
"14",2019-03-25 14:00:00,"2.5","1008.1","18.7","95"
"15",2019-03-25 15:00:00,"0.0","1007.7","20.0","91"
"16",2019-03-25 16:00:00,"0.0","1007.4","21.6","86"
"17",2019-03-25 17:00:00,"0.0","1007.2","22.4","82"
"18",2019-03-25 18:00:00,"0.0","1007.2","21.5","85"
"19",2019-03-25 19:00:00,"0.0","1007.5","21.1","86"
"20",2019-03-25 20:00:00,"0.0","1007.9","20.7","87"
"21",2019-03-25 21:00:00,"0.0","1008.6","20.5","89"
"22",2019-03-25 22:00:00,"0.0","1009.1","20.0","91"
"23",2019-03-25 23:00:00,"0.0","1008.9","19.9","92"
"24",2019-03-26 00:00:00,"0.0","1009.0","19.1","95"
