"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","989.4","16.3","96"
"2",2019-03-25 02:00:00,"0.0","988.4","16.1","97"
"3",2019-03-25 03:00:00,"0.0","989.3","16.1","98"
"4",2019-03-25 04:00:00,"0.0","989.4","16.2","98"
"5",2019-03-25 05:00:00,"0.0","989.8","16.4","97"
"6",2019-03-25 06:00:00,"0.0","989.4","16.4","98"
"7",2019-03-25 07:00:00,"0.0","990.2","16.6","98"
"8",2019-03-25 08:00:00,"0.0","991.3","16.8","98"
"9",2019-03-25 09:00:00,"0.0","991.2","17.3","98"
"10",2019-03-25 10:00:00,"3.5","992.4","17.5","98"
"11",2019-03-25 11:00:00,"4.5","991.4","18.0","98"
"12",2019-03-25 12:00:00,"0.5","991.8","18.1","95"
"13",2019-03-25 13:00:00,"3.0","991.9","16.4","96"
"14",2019-03-25 14:00:00,"4.0","991.2","16.3","95"
"15",2019-03-25 15:00:00,"1.5","990.7","17.7","96"
"16",2019-03-25 16:00:00,"0.5","990.7","18.5","96"
"17",2019-03-25 17:00:00,"0.0","989.7","18.4","96"
"18",2019-03-25 18:00:00,"0.0","990.9","17.4","97"
"19",2019-03-25 19:00:00,"0.0","991.3","17.1","98"
"20",2019-03-25 20:00:00,"0.0","991.5","17.1","98"
"21",2019-03-25 21:00:00,"0.0","992.3","17.1","98"
"22",2019-03-25 22:00:00,"0.0","992.8","17.1","98"
"23",2019-03-25 23:00:00,"0.0","992.9","17.0","98"
"24",2019-03-26 00:00:00,"0.0","992.8","17.0","98"
