"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1013.5","19.6","93"
"2",2019-03-25 02:00:00,"0.0","1012.7","20.2","91"
"3",2019-03-25 03:00:00,"0.0","1012.2","19.6","91"
"4",2019-03-25 04:00:00,"0.0","1012.3","19.5","91"
"5",2019-03-25 05:00:00,"0.0","1012.9","19.5","90"
"6",2019-03-25 06:00:00,"0.0","1013.5","19.0","93"
"7",2019-03-25 07:00:00,"0.0","1014.2","19.4","92"
"8",2019-03-25 08:00:00,"0.0","1014.6","20.5","87"
"9",2019-03-25 09:00:00,"0.0","1015.0","22.8","73"
"10",2019-03-25 10:00:00,"0.0","1014.9","24.3","69"
"11",2019-03-25 11:00:00,"0.0","1014.9","25.2","66"
"12",2019-03-25 12:00:00,"0.0","1014.2","26.6","65"
"13",2019-03-25 13:00:00,"0.0","1013.5","27.3","63"
"14",2019-03-25 14:00:00,"0.0","1012.9","27.8","62"
"15",2019-03-25 15:00:00,"0.0","1012.3","26.8","68"
"16",2019-03-25 16:00:00,"0.0","1011.8","27.0","62"
"17",2019-03-25 17:00:00,"0.0","1011.8","26.7","63"
"18",2019-03-25 18:00:00,"0.0","1012.2","25.8","65"
"19",2019-03-25 19:00:00,"0.0","1012.7","24.9","71"
"20",2019-03-25 20:00:00,"0.0","1013.3","23.3","80"
"21",2019-03-25 21:00:00,"0.0","1014.0","22.6","82"
"22",2019-03-25 22:00:00,"0.0","1014.3","22.0","87"
"23",2019-03-25 23:00:00,"0.0","1014.2","21.6","89"
"24",2019-03-26 00:00:00,"0.0","1014.3","21.3","91"
