"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1013.1","17.9","99"
"2",2019-03-25 02:00:00,"0.0","1012.0","17.8","99"
"3",2019-03-25 03:00:00,"0.0","1011.9","17.6","99"
"4",2019-03-25 04:00:00,"0.0","1012.1","17.8","96"
"5",2019-03-25 05:00:00,"0.0","1012.5","17.8","96"
"6",2019-03-25 06:00:00,"0.0","1012.9","17.9","96"
"7",2019-03-25 07:00:00,"0.0","1013.0","18.1","96"
"8",2019-03-25 08:00:00,"0.5","1014.1","18.6","94"
"9",2019-03-25 09:00:00,"2.5","1014.1","18.4","98"
"10",2019-03-25 10:00:00,"1.0","1014.6","18.7","100"
"11",2019-03-25 11:00:00,"3.0","1014.7","19.1","100"
"12",2019-03-25 12:00:00,"0.5","1014.0","19.3","100"
"13",2019-03-25 13:00:00,"4.5","1013.9","18.8","100"
"14",2019-03-25 14:00:00,"8.0","1014.0","18.3","100"
"15",2019-03-25 15:00:00,"X","1013.4","18.9","100"
"16",2019-03-25 16:00:00,"0.0","1013.5","18.4","100"
"17",2019-03-25 17:00:00,"0.0","1013.4","18.2","100"
"18",2019-03-25 18:00:00,"0.0","1013.8","18.4","100"
"19",2019-03-25 19:00:00,"0.0","1014.3","18.3","100"
"20",2019-03-25 20:00:00,"0.0","1015.1","18.4","100"
"21",2019-03-25 21:00:00,"0.0","1015.9","18.3","100"
"22",2019-03-25 22:00:00,"0.0","1016.4","18.0","100"
"23",2019-03-25 23:00:00,"0.0","1016.6","17.8","100"
"24",2019-03-26 00:00:00,"0.0","1016.9","17.6","100"
