"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","981.8","16.5","96"
"2",2019-03-25 02:00:00,"0.0","981.0","16.1","98"
"3",2019-03-25 03:00:00,"0.0","980.3","15.8","99"
"4",2019-03-25 04:00:00,"0.0","980.6","15.5","99"
"5",2019-03-25 05:00:00,"0.0","981.3","15.1","99"
"6",2019-03-25 06:00:00,"0.0","981.8","15.0","99"
"7",2019-03-25 07:00:00,"0.0","981.9","15.2","99"
"8",2019-03-25 08:00:00,"0.0","982.6","15.5","99"
"9",2019-03-25 09:00:00,"0.0","983.8","15.6","99"
"10",2019-03-25 10:00:00,"0.0","983.6","15.9","99"
"11",2019-03-25 11:00:00,"1.0","983.3","16.5","99"
"12",2019-03-25 12:00:00,"0.5","982.9","17.1","99"
"13",2019-03-25 13:00:00,"0.0","982.7","17.3","99"
"14",2019-03-25 14:00:00,"2.5","982.6","17.7","99"
"15",2019-03-25 15:00:00,"0.5","981.8","17.6","99"
"16",2019-03-25 16:00:00,"0.0","982.0","17.0","99"
"17",2019-03-25 17:00:00,"0.0","982.0","16.9","99"
"18",2019-03-25 18:00:00,"0.0","982.4","16.2","99"
"19",2019-03-25 19:00:00,"0.0","983.0","16.2","99"
"20",2019-03-25 20:00:00,"0.0","983.5","16.2","99"
"21",2019-03-25 21:00:00,"0.0","984.5","16.3","99"
"22",2019-03-25 22:00:00,"0.0","984.9","16.3","99"
"23",2019-03-25 23:00:00,"0.0","985.1","16.3","99"
"24",2019-03-26 00:00:00,"0.0","985.2","16.4","99"
