"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","965.4","17.4","97"
"2",2019-03-25 02:00:00,"0.0","964.6","17.4","97"
"3",2019-03-25 03:00:00,"0.0","964.0","17.2","97"
"4",2019-03-25 04:00:00,"0.0","964.6","17.0","98"
"5",2019-03-25 05:00:00,"0.0","965.4","17.1","96"
"6",2019-03-25 06:00:00,"0.0","966.0","17.2","93"
"7",2019-03-25 07:00:00,"0.0","966.0","17.3","95"
"8",2019-03-25 08:00:00,"0.0","966.5","17.9","92"
"9",2019-03-25 09:00:00,"0.0","967.0","19.1","86"
"10",2019-03-25 10:00:00,"0.0","967.6","19.3","84"
"11",2019-03-25 11:00:00,"0.0","967.8","19.3","85"
"12",2019-03-25 12:00:00,"0.5","967.4","19.4","87"
"13",2019-03-25 13:00:00,"0.0","967.0","19.2","91"
"14",2019-03-25 14:00:00,"0.5","966.1","19.5","89"
"15",2019-03-25 15:00:00,"3.5","966.4","18.6","96"
"16",2019-03-25 16:00:00,"0.5","966.5","18.7","94"
"17",2019-03-25 17:00:00,"0.0","966.0","19.3","91"
"18",2019-03-25 18:00:00,"0.0","966.2","19.1","90"
"19",2019-03-25 19:00:00,"0.0","966.3","18.2","96"
"20",2019-03-25 20:00:00,"0.0","966.9","17.7","97"
"21",2019-03-25 21:00:00,"0.0","967.5","17.0","97"
"22",2019-03-25 22:00:00,"0.0","967.6","16.8","98"
"23",2019-03-25 23:00:00,"0.5","967.4","16.7","99"
"24",2019-03-26 00:00:00,"0.0","967.3","16.5","99"
