"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1014.2","17.2","95"
"2",2019-03-25 02:00:00,"0.0","1013.3","17.0","96"
"3",2019-03-25 03:00:00,"0.0","1013.3","16.8","96"
"4",2019-03-25 04:00:00,"0.0","1013.3","16.6","97"
"5",2019-03-25 05:00:00,"0.0","1014.1","16.6","97"
"6",2019-03-25 06:00:00,"0.0","1014.2","16.6","97"
"7",2019-03-25 07:00:00,"0.0","1014.4","17.4","98"
"8",2019-03-25 08:00:00,"0.0","1015.3","18.2","97"
"9",2019-03-25 09:00:00,"0.0","1016.2","20.7","85"
"10",2019-03-25 10:00:00,"0.0","1016.2","22.6","77"
"11",2019-03-25 11:00:00,"0.0","1016.1","22.4","79"
"12",2019-03-25 12:00:00,"0.0","1016.1","21.5","85"
"13",2019-03-25 13:00:00,"0.0","1015.3","23.4","74"
"14",2019-03-25 14:00:00,"0.0","1014.5","23.1","78"
"15",2019-03-25 15:00:00,"0.0","1013.9","22.5","80"
"16",2019-03-25 16:00:00,"0.0","1013.8","21.7","85"
"17",2019-03-25 17:00:00,"0.0","1013.7","21.2","86"
"18",2019-03-25 18:00:00,"0.0","1013.9","21.0","86"
"19",2019-03-25 19:00:00,"0.0","1014.1","20.4","90"
"20",2019-03-25 20:00:00,"0.0","1014.8","20.2","91"
"21",2019-03-25 21:00:00,"0.0","1015.4","19.8","92"
"22",2019-03-25 22:00:00,"0.0","1015.7","19.4","94"
"23",2019-03-25 23:00:00,"0.0","1015.7","19.3","93"
"24",2019-03-26 00:00:00,"0.0","1015.7","19.2","94"
