"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1012.8","19.6","100"
"2",2019-03-25 02:00:00,"0.0","1012.0","19.3","100"
"3",2019-03-25 03:00:00,"0.0","1011.6","19.3","100"
"4",2019-03-25 04:00:00,"0.0","1011.7","19.3","100"
"5",2019-03-25 05:00:00,"0.0","1012.3","19.6","100"
"6",2019-03-25 06:00:00,"0.0","1012.9","19.2","100"
"7",2019-03-25 07:00:00,"0.0","1013.6","19.6","100"
"8",2019-03-25 08:00:00,"0.0","1013.9","21.3","95"
"9",2019-03-25 09:00:00,"0.0","1014.3","23.8","76"
"10",2019-03-25 10:00:00,"0.0","1014.3","26.2","64"
"11",2019-03-25 11:00:00,"0.0","1014.3","26.6","63"
"12",2019-03-25 12:00:00,"0.0","1013.6","28.1","61"
"13",2019-03-25 13:00:00,"0.0","1012.9","28.5","59"
"14",2019-03-25 14:00:00,"0.0","1012.4","28.8","59"
"15",2019-03-25 15:00:00,"0.0","1011.8","28.6","60"
"16",2019-03-25 16:00:00,"0.0","1011.3","27.8","61"
"17",2019-03-25 17:00:00,"0.0","1011.4","27.6","62"
"18",2019-03-25 18:00:00,"0.0","1011.8","26.7","66"
"19",2019-03-25 19:00:00,"0.0","1012.3","25.3","74"
"20",2019-03-25 20:00:00,"0.0","1012.9","23.8","83"
"21",2019-03-25 21:00:00,"0.0","1013.5","23.0","89"
"22",2019-03-25 22:00:00,"0.0","1013.8","22.3","96"
"23",2019-03-25 23:00:00,"0.0","1013.7","22.1","97"
"24",2019-03-26 00:00:00,"0.0","1013.7","21.6","99"
