"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1002.7","17.0","100"
"2",2019-03-25 02:00:00,"0.0","1002.0","17.3","100"
"3",2019-03-25 03:00:00,"0.0","1001.6","17.2","100"
"4",2019-03-25 04:00:00,"0.0","1001.6","17.2","100"
"5",2019-03-25 05:00:00,"0.0","1002.3","16.5","100"
"6",2019-03-25 06:00:00,"0.0","1003.0","16.8","100"
"7",2019-03-25 07:00:00,"0.0","1003.5","17.1","100"
"8",2019-03-25 08:00:00,"0.0","1003.8","18.7","100"
"9",2019-03-25 09:00:00,"0.0","1004.4","21.4","100"
"10",2019-03-25 10:00:00,"X","1004.3","23.6","85"
"11",2019-03-25 11:00:00,"0.0","1004.3","25.0","76"
"12",2019-03-25 12:00:00,"0.0","1003.7","26.1","74"
"13",2019-03-25 13:00:00,"X","1003.1","25.7","75"
"14",2019-03-25 14:00:00,"0.0","1002.4","26.4","70"
"15",2019-03-25 15:00:00,"0.0","1002.0","25.0","76"
"16",2019-03-25 16:00:00,"0.0","1001.5","25.7","73"
"17",2019-03-25 17:00:00,"0.0","1001.4","24.8","77"
"18",2019-03-25 18:00:00,"0.0","1001.8","22.7","95"
"19",2019-03-25 19:00:00,"0.0","1002.3","21.0","100"
"20",2019-03-25 20:00:00,"0.0","1002.7","20.1","100"
"21",2019-03-25 21:00:00,"0.0","1003.5","19.6","100"
"22",2019-03-25 22:00:00,"0.0","1003.7","19.6","100"
"23",2019-03-25 23:00:00,"0.0","1003.6","19.1","100"
"24",2019-03-26 00:00:00,"0.0","1003.7","18.9","100"
