"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1015.1","18.3","94"
"2",2019-03-25 02:00:00,"X","1014.5","18.3","96"
"3",2019-03-25 03:00:00,"0.0","1013.9","18.2","96"
"4",2019-03-25 04:00:00,"0.0","1014.0","18.1","97"
"5",2019-03-25 05:00:00,"X","1014.7","18.5","96"
"6",2019-03-25 06:00:00,"0.0","1015.0","18.4","95"
"7",2019-03-25 07:00:00,"0.0","1015.9","18.6","95"
"8",2019-03-25 08:00:00,"X","1016.1","19.4","92"
"9",2019-03-25 09:00:00,"0.0","1016.8","21.6","82"
"10",2019-03-25 10:00:00,"0.0","1016.8","23.2","75"
"11",2019-03-25 11:00:00,"0.0","1016.8","23.6","74"
"12",2019-03-25 12:00:00,"X","1016.1","24.7","69"
"13",2019-03-25 13:00:00,"0.0","1015.5","26.0","65"
"14",2019-03-25 14:00:00,"0.0","1014.7","26.5","62"
"15",2019-03-25 15:00:00,"0.0","1014.4","25.9","65"
"16",2019-03-25 16:00:00,"X","/","/","/"
"17",2019-03-25 17:00:00,"0.0","1013.8","25.6","64"
"18",2019-03-25 18:00:00,"X","1014.1","24.2","71"
"19",2019-03-25 19:00:00,"0.0","1014.6","22.7","79"
"20",2019-03-25 20:00:00,"0.0","1015.2","22.2","80"
"21",2019-03-25 21:00:00,"X","1015.8","21.9","82"
"22",2019-03-25 22:00:00,"0.0","1016.1","21.6","84"
"23",2019-03-25 23:00:00,"0.0","1016.0","21.1","86"
"24",2019-03-26 00:00:00,"0.0","1016.1","20.6","88"
