"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1004.1","17.2","100"
"2",2019-03-25 02:00:00,"0.0","1003.1","17.0","100"
"3",2019-03-25 03:00:00,"0.0","1002.9","16.9","100"
"4",2019-03-25 04:00:00,"0.0","1003.1","16.8","100"
"5",2019-03-25 05:00:00,"0.0","1003.7","16.7","100"
"6",2019-03-25 06:00:00,"0.0","1004.1","16.6","100"
"7",2019-03-25 07:00:00,"0.0","1004.4","16.8","100"
"8",2019-03-25 08:00:00,"0.0","1005.3","17.1","100"
"9",2019-03-25 09:00:00,"0.5","1006.3","17.2","100"
"10",2019-03-25 10:00:00,"X","1005.5","18.1","100"
"11",2019-03-25 11:00:00,"2.5","1006.3","18.4","100"
"12",2019-03-25 12:00:00,"1.5","1005.6","18.5","100"
"13",2019-03-25 13:00:00,"1.5","1005.9","17.9","100"
"14",2019-03-25 14:00:00,"6.0","1005.2","18.2","100"
"15",2019-03-25 15:00:00,"0.0","1004.8","17.7","100"
"16",2019-03-25 16:00:00,"0.0","1005.2","17.1","100"
"17",2019-03-25 17:00:00,"X","1005.2","16.8","100"
"18",2019-03-25 18:00:00,"0.0","1005.4","16.7","100"
"19",2019-03-25 19:00:00,"0.0","1005.9","16.8","100"
"20",2019-03-25 20:00:00,"0.0","1006.7","17.0","100"
"21",2019-03-25 21:00:00,"0.0","1007.5","17.0","100"
"22",2019-03-25 22:00:00,"0.0","1008.0","17.0","100"
"23",2019-03-25 23:00:00,"0.0","1008.3","16.5","100"
"24",2019-03-26 00:00:00,"0.0","1008.6","16.3","100"
