"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1013.4","17.8","85"
"2",2019-03-25 02:00:00,"0.0","1012.3","17.2","90"
"3",2019-03-25 03:00:00,"0.0","1011.3","17.1","89"
"4",2019-03-25 04:00:00,"0.0","1011.4","17.2","86"
"5",2019-03-25 05:00:00,"0.0","1012.0","16.6","90"
"6",2019-03-25 06:00:00,"0.0","1012.0","16.6","89"
"7",2019-03-25 07:00:00,"0.0","1012.4","17.8","85"
"8",2019-03-25 08:00:00,"0.0","1013.0","20.4","81"
"9",2019-03-25 09:00:00,"0.0","1013.5","22.1","66"
"10",2019-03-25 10:00:00,"0.0","1013.8","22.0","62"
"11",2019-03-25 11:00:00,"0.0","1013.2","20.4","81"
"12",2019-03-25 12:00:00,"0.0","1012.5","21.0","75"
"13",2019-03-25 13:00:00,"0.0","1012.1","21.5","77"
"14",2019-03-25 14:00:00,"0.0","1011.9","21.3","79"
"15",2019-03-25 15:00:00,"T","1011.2","20.8","86"
"16",2019-03-25 16:00:00,"T","1011.4","21.3","83"
"17",2019-03-25 17:00:00,"0.0","1011.6","21.5","79"
"18",2019-03-25 18:00:00,"0.0","1011.5","21.1","80"
"19",2019-03-25 19:00:00,"0.0","1012.2","19.9","87"
"20",2019-03-25 20:00:00,"0.0","1013.1","19.5","88"
"21",2019-03-25 21:00:00,"0.0","1014.1","18.5","92"
"22",2019-03-25 22:00:00,"0.0","1014.7","18.2","93"
"23",2019-03-25 23:00:00,"0.0","1015.2","20.0","85"
"24",2019-03-26 00:00:00,"0.0","1016.0","19.7","85"
