"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1003.0","18.7","99"
"2",2019-03-25 02:00:00,"0.0","1001.9","18.7","99"
"3",2019-03-25 03:00:00,"0.0","1001.9","18.3","99"
"4",2019-03-25 04:00:00,"0.0","1001.2","19.1","99"
"5",2019-03-25 05:00:00,"0.0","1002.0","18.6","99"
"6",2019-03-25 06:00:00,"0.0","1002.8","18.1","99"
"7",2019-03-25 07:00:00,"0.0","1003.5","18.8","99"
"8",2019-03-25 08:00:00,"0.0","1003.6","21.1","99"
"9",2019-03-25 09:00:00,"0.0","1004.1","23.0","93"
"10",2019-03-25 10:00:00,"0.0","1004.4","24.5","71"
"11",2019-03-25 11:00:00,"0.0","1003.9","26.7","60"
"12",2019-03-25 12:00:00,"0.0","1003.4","27.6","56"
"13",2019-03-25 13:00:00,"0.0","1002.6","28.6","52"
"14",2019-03-25 14:00:00,"0.0","1002.1","28.1","55"
"15",2019-03-25 15:00:00,"0.0","1001.5","28.1","55"
"16",2019-03-25 16:00:00,"0.0","1001.3","28.6","54"
"17",2019-03-25 17:00:00,"0.0","1001.1","28.2","55"
"18",2019-03-25 18:00:00,"0.0","1001.2","26.6","60"
"19",2019-03-25 19:00:00,"0.0","1001.9","24.8","69"
"20",2019-03-25 20:00:00,"0.0","1002.6","22.5","99"
"21",2019-03-25 21:00:00,"0.0","1003.1","23.5","97"
"22",2019-03-25 22:00:00,"0.0","1003.4","22.8","82"
"23",2019-03-25 23:00:00,"0.0","1003.3","22.3","83"
"24",2019-03-26 00:00:00,"0.0","1003.3","21.6","87"
