"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","989.8","16.4","100"
"2",2019-03-25 02:00:00,"0.0","988.5","16.1","99"
"3",2019-03-25 03:00:00,"0.0","988.6","17.3","100"
"4",2019-03-25 04:00:00,"0.0","988.5","16.5","100"
"5",2019-03-25 05:00:00,"0.0","989.0","16.5","100"
"6",2019-03-25 06:00:00,"0.0","989.2","16.5","99"
"7",2019-03-25 07:00:00,"0.0","989.7","17.6","99"
"8",2019-03-25 08:00:00,"0.0","991.1","17.3","99"
"9",2019-03-25 09:00:00,"8.0","990.6","17.1","99"
"10",2019-03-25 10:00:00,"0.0","990.9","17.7","100"
"11",2019-03-25 11:00:00,"0.5","991.5","17.6","100"
"12",2019-03-25 12:00:00,"1.5","991.1","17.1","99"
"13",2019-03-25 13:00:00,"4.0","990.4","16.6","98"
"14",2019-03-25 14:00:00,"1.5","990.4","17.3","99"
"15",2019-03-25 15:00:00,"0.0","990.4","16.4","99"
"16",2019-03-25 16:00:00,"1.0","990.5","16.1","99"
"17",2019-03-25 17:00:00,"0.0","990.5","15.9","99"
"18",2019-03-25 18:00:00,"1.0","990.7","15.8","99"
"19",2019-03-25 19:00:00,"0.0","991.0","15.8","100"
"20",2019-03-25 20:00:00,"0.0","992.0","16.1","99"
"21",2019-03-25 21:00:00,"0.0","992.8","16.3","100"
"22",2019-03-25 22:00:00,"X","993.2","16.1","99"
"23",2019-03-25 23:00:00,"X","993.7","15.9","99"
"24",2019-03-26 00:00:00,"0.0","993.9","15.6","100"
