"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"X","1012.6","20.8","84"
"2",2019-03-25 02:00:00,"0.0","1011.6","20.8","83"
"3",2019-03-25 03:00:00,"0.0","1011.2","21.0","82"
"4",2019-03-25 04:00:00,"X","1011.2","20.7","82"
"5",2019-03-25 05:00:00,"0.0","1011.7","21.0","80"
"6",2019-03-25 06:00:00,"X","1012.4","20.8","81"
"7",2019-03-25 07:00:00,"X","/","/","/"
"8",2019-03-25 08:00:00,"0.0","/","/","/"
"9",2019-03-25 09:00:00,"X","/","/","/"
"10",2019-03-25 10:00:00,"0.0","1013.8","25.1","62"
"11",2019-03-25 11:00:00,"0.0","1013.8","25.9","62"
"12",2019-03-25 12:00:00,"0.0","1013.0","26.5","62"
"13",2019-03-25 13:00:00,"0.0","1012.3","27.7","59"
"14",2019-03-25 14:00:00,"0.0","1011.8","27.4","62"
"15",2019-03-25 15:00:00,"0.0","1011.3","27.1","65"
"16",2019-03-25 16:00:00,"0.0","1010.8","27.1","66"
"17",2019-03-25 17:00:00,"0.0","1010.7","27.6","58"
"18",2019-03-25 18:00:00,"0.0","1011.1","26.7","61"
"19",2019-03-25 19:00:00,"0.0","1011.4","25.7","65"
"20",2019-03-25 20:00:00,"0.0","1012.1","24.5","72"
"21",2019-03-25 21:00:00,"0.0","1012.8","23.7","74"
"22",2019-03-25 22:00:00,"0.0","1013.1","23.8","73"
"23",2019-03-25 23:00:00,"0.0","1013.0","23.1","78"
"24",2019-03-26 00:00:00,"0.0","1013.0","22.9","79"
