"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","975.7","16.5","99"
"2",2019-03-25 02:00:00,"0.0","974.9","16.9","99"
"3",2019-03-25 03:00:00,"0.0","975.4","16.7","97"
"4",2019-03-25 04:00:00,"0.0","975.8","16.7","98"
"5",2019-03-25 05:00:00,"0.0","976.0","16.8","99"
"6",2019-03-25 06:00:00,"0.0","976.1","16.9","98"
"7",2019-03-25 07:00:00,"0.0","976.3","17.8","92"
"8",2019-03-25 08:00:00,"0.0","977.4","18.1","92"
"9",2019-03-25 09:00:00,"0.0","977.9","18.0","95"
"10",2019-03-25 10:00:00,"0.5","978.9","18.0","95"
"11",2019-03-25 11:00:00,"2.0","978.3","17.9","97"
"12",2019-03-25 12:00:00,"0.0","978.3","18.3","94"
"13",2019-03-25 13:00:00,"0.5","978.1","16.4","98"
"14",2019-03-25 14:00:00,"8.5","977.7","16.0","98"
"15",2019-03-25 15:00:00,"3.0","977.3","16.8","99"
"16",2019-03-25 16:00:00,"0.0","977.1","17.7","99"
"17",2019-03-25 17:00:00,"0.0","976.5","18.4","98"
"18",2019-03-25 18:00:00,"0.0","976.8","18.5","97"
"19",2019-03-25 19:00:00,"0.0","977.2","17.7","98"
"20",2019-03-25 20:00:00,"0.0","977.6","17.5","98"
"21",2019-03-25 21:00:00,"0.0","978.1","17.3","99"
"22",2019-03-25 22:00:00,"0.0","978.7","17.1","99"
"23",2019-03-25 23:00:00,"0.0","978.7","16.8","99"
"24",2019-03-26 00:00:00,"0.0","978.7","16.9","99"
