"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1015.8","17.9","94"
"2",2019-03-25 02:00:00,"0.0","1014.6","17.7","95"
"3",2019-03-25 03:00:00,"0.0","/","/","/"
"4",2019-03-25 04:00:00,"X","1014.7","17.5","94"
"5",2019-03-25 05:00:00,"0.0","1015.2","17.8","94"
"6",2019-03-25 06:00:00,"0.0","/","/","/"
"7",2019-03-25 07:00:00,"X","1015.9","17.9","94"
"8",2019-03-25 08:00:00,"X","1017.1","18.4","93"
"9",2019-03-25 09:00:00,"4.0","/","/","/"
"10",2019-03-25 10:00:00,"0.5","/","/","/"
"11",2019-03-25 11:00:00,"2.0","1017.5","19.1","98"
"12",2019-03-25 12:00:00,"0.0","1017.0","19.1","98"
"13",2019-03-25 13:00:00,"3.0","1016.6","18.1","99"
"14",2019-03-25 14:00:00,"6.0","1016.8","18.4","98"
"15",2019-03-25 15:00:00,"0.0","/","/","/"
"16",2019-03-25 16:00:00,"0.0","1016.6","17.9","98"
"17",2019-03-25 17:00:00,"0.5","1016.3","17.7","99"
"18",2019-03-25 18:00:00,"X","1016.5","17.5","99"
"19",2019-03-25 19:00:00,"0.0","/","/","/"
"20",2019-03-25 20:00:00,"X","1017.8","17.9","96"
"21",2019-03-25 21:00:00,"X","1018.6","18.0","96"
"22",2019-03-25 22:00:00,"0.0","/","/","/"
"23",2019-03-25 23:00:00,"X","1019.4","18.2","95"
"24",2019-03-26 00:00:00,"0.0","1019.5","17.8","95"
