"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","/","/","/"
"2",2019-03-25 02:00:00,"0.0","/","/","/"
"3",2019-03-25 03:00:00,"0.0","988.7","16.5","91"
"4",2019-03-25 04:00:00,"0.0","989.0","15.8","96"
"5",2019-03-25 05:00:00,"0.0","989.6","15.6","97"
"6",2019-03-25 06:00:00,"0.0","990.3","15.7","98"
"7",2019-03-25 07:00:00,"0.0","/","/","/"
"8",2019-03-25 08:00:00,"0.0","/","/","/"
"9",2019-03-25 09:00:00,"0.0","992.3","16.4","98"
"10",2019-03-25 10:00:00,"1.0","/","/","/"
"11",2019-03-25 11:00:00,"3.0","/","/","/"
"12",2019-03-25 12:00:00,"0.0","991.3","17.6","98"
"13",2019-03-25 13:00:00,"0.5","991.3","17.7","98"
"14",2019-03-25 14:00:00,"3.0","990.9","17.8","98"
"15",2019-03-25 15:00:00,"1.0","990.6","17.0","97"
"16",2019-03-25 16:00:00,"0.0","990.7","16.9","97"
"17",2019-03-25 17:00:00,"0.0","990.6","16.4","98"
"18",2019-03-25 18:00:00,"0.0","991.0","16.4","99"
"19",2019-03-25 19:00:00,"0.0","991.6","16.3","99"
"20",2019-03-25 20:00:00,"0.0","992.2","16.3","99"
"21",2019-03-25 21:00:00,"0.0","993.1","16.4","99"
"22",2019-03-25 22:00:00,"0.5","993.5","16.5","99"
"23",2019-03-25 23:00:00,"X","993.7","16.4","99"
"24",2019-03-26 00:00:00,"0.5","993.9","15.8","99"
