"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1013.9","18.2","86"
"2",2019-03-25 02:00:00,"0.0","1012.9","18.0","83"
"3",2019-03-25 03:00:00,"0.0","1012.9","18.0","86"
"4",2019-03-25 04:00:00,"0.0","1012.9","17.8","89"
"5",2019-03-25 05:00:00,"0.0","1013.4","17.9","87"
"6",2019-03-25 06:00:00,"0.0","1013.6","18.1","85"
"7",2019-03-25 07:00:00,"0.0","1014.0","18.2","86"
"8",2019-03-25 08:00:00,"0.5","1015.3","18.5","86"
"9",2019-03-25 09:00:00,"3.0","1015.0","18.3","91"
"10",2019-03-25 10:00:00,"0.5","1015.6","18.7","92"
"11",2019-03-25 11:00:00,"2.0","1015.7","18.9","92"
"12",2019-03-25 12:00:00,"0.0","1015.2","19.1","92"
"13",2019-03-25 13:00:00,"4.0","1014.7","18.0","93"
"14",2019-03-25 14:00:00,"5.0","1014.9","18.3","93"
"15",2019-03-25 15:00:00,"0.0","1014.5","18.6","90"
"16",2019-03-25 16:00:00,"0.0","1014.7","17.8","92"
"17",2019-03-25 17:00:00,"0.0","1014.3","17.7","92"
"18",2019-03-25 18:00:00,"0.0","1014.8","17.6","92"
"19",2019-03-25 19:00:00,"0.0","1015.4","17.8","92"
"20",2019-03-25 20:00:00,"0.5","1015.9","18.1","90"
"21",2019-03-25 21:00:00,"0.0","1016.8","18.3","89"
"22",2019-03-25 22:00:00,"0.0","1017.1","18.7","87"
"23",2019-03-25 23:00:00,"0.0","1017.5","18.1","90"
"24",2019-03-26 00:00:00,"0.0","1017.6","17.9","92"
