"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1015.1","18.2","89"
"2",2019-03-25 02:00:00,"0.0","1014.0","18.0","88"
"3",2019-03-25 03:00:00,"0.0","1013.9","18.0","87"
"4",2019-03-25 04:00:00,"0.0","1014.0","18.0","87"
"5",2019-03-25 05:00:00,"0.0","1014.5","18.1","87"
"6",2019-03-25 06:00:00,"0.0","1014.7","18.2","87"
"7",2019-03-25 07:00:00,"0.0","1015.1","18.5","86"
"8",2019-03-25 08:00:00,"0.0","1016.3","18.7","86"
"9",2019-03-25 09:00:00,"4.5","1016.2","18.7","92"
"10",2019-03-25 10:00:00,"0.5","1016.7","19.0","92"
"11",2019-03-25 11:00:00,"1.5","1016.8","19.4","92"
"12",2019-03-25 12:00:00,"0.0","1016.2","19.3","91"
"13",2019-03-25 13:00:00,"3.0","1015.7","18.5","90"
"14",2019-03-25 14:00:00,"6.5","1016.0","19.0","92"
"15",2019-03-25 15:00:00,"0.5","1015.5","19.0","88"
"16",2019-03-25 16:00:00,"0.0","1015.6","18.2","90"
"17",2019-03-25 17:00:00,"0.0","1015.4","18.4","89"
"18",2019-03-25 18:00:00,"0.0","1015.6","18.2","87"
"19",2019-03-25 19:00:00,"0.0","1016.3","18.3","89"
"20",2019-03-25 20:00:00,"0.0","1017.0","18.2","89"
"21",2019-03-25 21:00:00,"0.0","1017.8","18.4","89"
"22",2019-03-25 22:00:00,"0.0","1018.3","18.6","88"
"23",2019-03-25 23:00:00,"0.0","1018.6","18.5","88"
"24",2019-03-26 00:00:00,"0.0","1018.7","18.3","89"
