"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","990.3","16.0","97"
"2",2019-03-25 02:00:00,"0.0","989.7","15.9","97"
"3",2019-03-25 03:00:00,"0.0","990.5","16.0","98"
"4",2019-03-25 04:00:00,"0.0","990.6","16.3","98"
"5",2019-03-25 05:00:00,"0.0","990.9","16.4","98"
"6",2019-03-25 06:00:00,"0.0","990.6","16.9","97"
"7",2019-03-25 07:00:00,"0.0","991.0","17.3","94"
"8",2019-03-25 08:00:00,"0.0","992.3","17.3","95"
"9",2019-03-25 09:00:00,"0.0","992.4","18.0","94"
"10",2019-03-25 10:00:00,"3.0","993.6","17.9","95"
"11",2019-03-25 11:00:00,"2.0","992.5","18.2","96"
"12",2019-03-25 12:00:00,"1.5","993.1","18.5","93"
"13",2019-03-25 13:00:00,"1.5","992.9","16.7","95"
"14",2019-03-25 14:00:00,"13.5","992.4","16.1","96"
"15",2019-03-25 15:00:00,"2.0","992.2","17.5","96"
"16",2019-03-25 16:00:00,"1.0","991.7","18.2","92"
"17",2019-03-25 17:00:00,"0.0","991.1","18.4","95"
"18",2019-03-25 18:00:00,"0.0","991.9","18.2","96"
"19",2019-03-25 19:00:00,"0.0","992.2","17.3","97"
"20",2019-03-25 20:00:00,"0.0","992.5","17.0","97"
"21",2019-03-25 21:00:00,"0.0","993.3","17.1","98"
"22",2019-03-25 22:00:00,"0.0","993.7","17.0","98"
"23",2019-03-25 23:00:00,"0.0","993.9","16.9","98"
"24",2019-03-26 00:00:00,"0.0","993.8","16.9","98"
