"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","959.9","13.6","99"
"2",2019-03-25 02:00:00,"0.0","959.1","13.7","99"
"3",2019-03-25 03:00:00,"0.0","958.4","13.6","99"
"4",2019-03-25 04:00:00,"0.0","958.4","13.3","99"
"5",2019-03-25 05:00:00,"0.0","958.7","13.8","99"
"6",2019-03-25 06:00:00,"0.0","959.1","13.7","99"
"7",2019-03-25 07:00:00,"0.0","959.3","14.6","99"
"8",2019-03-25 08:00:00,"0.0","957.9","15.5","99"
"9",2019-03-25 09:00:00,"0.0","960.7","16.1","99"
"10",2019-03-25 10:00:00,"0.0","961.0","15.8","99"
"11",2019-03-25 11:00:00,"0.5","961.7","15.9","99"
"12",2019-03-25 12:00:00,"0.5","959.9","16.7","99"
"13",2019-03-25 13:00:00,"0.0","959.1","17.7","99"
"14",2019-03-25 14:00:00,"1.0","959.0","16.4","99"
"15",2019-03-25 15:00:00,"0.5","958.5","16.8","99"
"16",2019-03-25 16:00:00,"0.5","958.2","18.3","99"
"17",2019-03-25 17:00:00,"0.0","958.4","18.5","99"
"18",2019-03-25 18:00:00,"0.0","959.0","17.3","99"
"19",2019-03-25 19:00:00,"0.0","959.5","15.8","99"
"20",2019-03-25 20:00:00,"0.0","960.1","15.1","99"
"21",2019-03-25 21:00:00,"0.0","960.9","15.2","99"
"22",2019-03-25 22:00:00,"0.0","961.7","15.2","99"
"23",2019-03-25 23:00:00,"0.0","962.2","14.8","99"
"24",2019-03-26 00:00:00,"0.0","962.4","15.0","99"
