"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","988.9","17.1","81"
"2",2019-03-25 02:00:00,"0.0","988.3","17.3","80"
"3",2019-03-25 03:00:00,"0.0","987.6","17.6","78"
"4",2019-03-25 04:00:00,"0.0","987.1","17.6","75"
"5",2019-03-25 05:00:00,"0.0","987.3","17.2","79"
"6",2019-03-25 06:00:00,"0.0","987.6","18.3","73"
"7",2019-03-25 07:00:00,"0.0","988.1","18.5","78"
"8",2019-03-25 08:00:00,"0.0","988.3","20.9","67"
"9",2019-03-25 09:00:00,"0.0","988.4","23.8","63"
"10",2019-03-25 10:00:00,"0.0","988.2","25.3","61"
"11",2019-03-25 11:00:00,"0.0","988.3","23.9","66"
"12",2019-03-25 12:00:00,"0.0","988.1","24.4","68"
"13",2019-03-25 13:00:00,"0.0","987.2","23.9","70"
"14",2019-03-25 14:00:00,"0.0","986.6","23.7","70"
"15",2019-03-25 15:00:00,"0.0","986.6","22.9","74"
"16",2019-03-25 16:00:00,"0.0","987.2","21.3","79"
"17",2019-03-25 17:00:00,"0.0","987.3","21.7","76"
"18",2019-03-25 18:00:00,"0.0","987.2","19.9","85"
"19",2019-03-25 19:00:00,"0.0","987.8","19.2","84"
"20",2019-03-25 20:00:00,"0.0","988.9","19.1","84"
"21",2019-03-25 21:00:00,"0.0","989.5","19.7","86"
"22",2019-03-25 22:00:00,"0.0","990.3","19.9","89"
"23",2019-03-25 23:00:00,"0.0","990.6","19.5","93"
"24",2019-03-26 00:00:00,"0.0","990.9","19.3","95"
