"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","954.6","16.0","77"
"2",2019-03-25 02:00:00,"0.0","953.9","16.1","76"
"3",2019-03-25 03:00:00,"0.0","953.5","15.8","78"
"4",2019-03-25 04:00:00,"0.0","952.9","16.1","79"
"5",2019-03-25 05:00:00,"0.0","953.1","17.0","75"
"6",2019-03-25 06:00:00,"0.0","953.5","17.1","78"
"7",2019-03-25 07:00:00,"0.0","953.9","18.9","69"
"8",2019-03-25 08:00:00,"0.0","954.4","20.6","69"
"9",2019-03-25 09:00:00,"0.0","954.5","21.2","70"
"10",2019-03-25 10:00:00,"0.0","954.5","20.9","76"
"11",2019-03-25 11:00:00,"0.0","954.5","20.2","77"
"12",2019-03-25 12:00:00,"0.0","954.4","18.6","86"
"13",2019-03-25 13:00:00,"0.0","953.5","19.1","84"
"14",2019-03-25 14:00:00,"0.0","952.8","20.2","78"
"15",2019-03-25 15:00:00,"0.0","953.1","19.6","80"
"16",2019-03-25 16:00:00,"1.5","953.4","18.8","93"
"17",2019-03-25 17:00:00,"0.0","953.2","18.6","84"
"18",2019-03-25 18:00:00,"0.0","953.6","18.7","79"
"19",2019-03-25 19:00:00,"0.0","953.7","17.5","83"
"20",2019-03-25 20:00:00,"0.0","954.9","17.3","86"
"21",2019-03-25 21:00:00,"0.0","955.9","17.1","93"
"22",2019-03-25 22:00:00,"0.0","956.3","18.1","89"
"23",2019-03-25 23:00:00,"0.0","956.7","17.3","95"
"24",2019-03-26 00:00:00,"0.0","956.9","17.5","97"
