"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1014.3","17.3","95"
"2",2019-03-25 02:00:00,"0.0","1013.2","17.2","96"
"3",2019-03-25 03:00:00,"0.0","1013.4","16.6","96"
"4",2019-03-25 04:00:00,"0.0","1013.6","16.8","96"
"5",2019-03-25 05:00:00,"0.0","1014.3","16.5","97"
"6",2019-03-25 06:00:00,"0.0","1014.2","17.0","97"
"7",2019-03-25 07:00:00,"0.0","1014.5","17.3","97"
"8",2019-03-25 08:00:00,"0.0","1015.3","18.4","96"
"9",2019-03-25 09:00:00,"0.0","1015.9","19.8","90"
"10",2019-03-25 10:00:00,"0.0","1016.3","20.5","87"
"11",2019-03-25 11:00:00,"0.0","1016.3","20.3","89"
"12",2019-03-25 12:00:00,"0.0","1016.2","20.8","85"
"13",2019-03-25 13:00:00,"0.0","1015.5","22.1","78"
"14",2019-03-25 14:00:00,"0.0","1014.8","21.7","82"
"15",2019-03-25 15:00:00,"0.0","1014.1","20.4","88"
"16",2019-03-25 16:00:00,"0.0","1014.0","20.9","86"
"17",2019-03-25 17:00:00,"0.0","1013.7","21.0","86"
"18",2019-03-25 18:00:00,"0.0","1014.1","20.9","87"
"19",2019-03-25 19:00:00,"0.0","1014.2","20.2","90"
"20",2019-03-25 20:00:00,"0.0","1014.9","19.8","92"
"21",2019-03-25 21:00:00,"0.0","1015.5","19.5","94"
"22",2019-03-25 22:00:00,"0.0","1015.8","19.4","93"
"23",2019-03-25 23:00:00,"0.0","1015.9","19.1","94"
"24",2019-03-26 00:00:00,"0.0","1015.8","19.2","94"
