"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1015.7","16.5","97"
"2",2019-03-25 02:00:00,"0.0","1014.7","16.1","98"
"3",2019-03-25 03:00:00,"0.0","1015.0","16.0","98"
"4",2019-03-25 04:00:00,"0.0","1015.0","16.2","98"
"5",2019-03-25 05:00:00,"0.0","1015.7","16.7","98"
"6",2019-03-25 06:00:00,"0.0","1015.7","16.9","98"
"7",2019-03-25 07:00:00,"0.0","1016.1","17.3","98"
"8",2019-03-25 08:00:00,"0.0","1016.8","18.4","98"
"9",2019-03-25 09:00:00,"0.0","1017.5","20.3","91"
"10",2019-03-25 10:00:00,"0.0","1017.8","20.2","89"
"11",2019-03-25 11:00:00,"0.0","1017.8","20.3","91"
"12",2019-03-25 12:00:00,"0.0","1017.6","20.9","88"
"13",2019-03-25 13:00:00,"0.0","1017.0","22.1","84"
"14",2019-03-25 14:00:00,"0.0","1016.4","20.8","87"
"15",2019-03-25 15:00:00,"0.0","1015.6","21.0","85"
"16",2019-03-25 16:00:00,"0.0","1015.6","21.3","85"
"17",2019-03-25 17:00:00,"0.0","1015.4","21.2","86"
"18",2019-03-25 18:00:00,"0.0","1015.6","21.0","87"
"19",2019-03-25 19:00:00,"0.0","1015.7","20.1","92"
"20",2019-03-25 20:00:00,"0.0","1016.4","19.9","94"
"21",2019-03-25 21:00:00,"0.0","1017.1","19.6","95"
"22",2019-03-25 22:00:00,"0.0","1017.2","19.8","94"
"23",2019-03-25 23:00:00,"0.0","1017.4","19.3","96"
"24",2019-03-26 00:00:00,"0.0","1017.4","19.3","96"
