"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1000.7","16.2","99"
"2",2019-03-25 02:00:00,"0.0","999.6","16.2","99"
"3",2019-03-25 03:00:00,"0.0","999.8","17.2","97"
"4",2019-03-25 04:00:00,"0.0","1000.2","16.5","99"
"5",2019-03-25 05:00:00,"0.0","1000.5","16.7","99"
"6",2019-03-25 06:00:00,"0.0","1000.6","17.1","98"
"7",2019-03-25 07:00:00,"0.0","1001.2","17.7","100"
"8",2019-03-25 08:00:00,"0.5","1002.0","17.3","99"
"9",2019-03-25 09:00:00,"6.5","1002.4","17.1","100"
"10",2019-03-25 10:00:00,"9.5","1003.0","17.4","99"
"11",2019-03-25 11:00:00,"0.5","1002.9","17.9","99"
"12",2019-03-25 12:00:00,"0.5","1002.9","16.5","100"
"13",2019-03-25 13:00:00,"9.0","1002.5","16.0","99"
"14",2019-03-25 14:00:00,"6.5","1001.8","16.3","100"
"15",2019-03-25 15:00:00,"0.0","1002.1","16.6","99"
"16",2019-03-25 16:00:00,"0.0","1001.7","16.9","99"
"17",2019-03-25 17:00:00,"X","1001.4","17.3","99"
"18",2019-03-25 18:00:00,"0.0","1001.6","17.0","99"
"19",2019-03-25 19:00:00,"0.0","1002.1","17.2","99"
"20",2019-03-25 20:00:00,"0.0","1002.7","17.2","100"
"21",2019-03-25 21:00:00,"0.0","1003.4","17.2","99"
"22",2019-03-25 22:00:00,"0.0","1003.8","17.2","100"
"23",2019-03-25 23:00:00,"0.0","1003.9","17.3","99"
"24",2019-03-26 00:00:00,"0.0","1003.9","17.3","100"
