"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1012.8","17.9","91"
"2",2019-03-25 02:00:00,"0.0","1011.4","17.9","90"
"3",2019-03-25 03:00:00,"0.0","1011.8","18.4","84"
"4",2019-03-25 04:00:00,"0.0","1011.7","18.0","88"
"5",2019-03-25 05:00:00,"0.0","1012.2","17.9","88"
"6",2019-03-25 06:00:00,"0.0","1012.6","18.1","89"
"7",2019-03-25 07:00:00,"0.0","1013.1","18.2","89"
"8",2019-03-25 08:00:00,"1.0","1014.3","18.2","93"
"9",2019-03-25 09:00:00,"4.5","1013.7","18.5","96"
"10",2019-03-25 10:00:00,"0.0","1014.8","18.8","96"
"11",2019-03-25 11:00:00,"1.5","1014.7","18.9","96"
"12",2019-03-25 12:00:00,"0.5","1014.4","18.8","95"
"13",2019-03-25 13:00:00,"5.0","1014.0","18.4","98"
"14",2019-03-25 14:00:00,"1.5","1014.0","18.1","98"
"15",2019-03-25 15:00:00,"0.5","1013.8","17.9","94"
"16",2019-03-25 16:00:00,"0.0","1013.8","17.6","94"
"17",2019-03-25 17:00:00,"0.0","1013.8","17.4","94"
"18",2019-03-25 18:00:00,"0.5","1013.9","17.4","95"
"19",2019-03-25 19:00:00,"0.0","1014.3","17.3","94"
"20",2019-03-25 20:00:00,"0.0","1015.1","17.7","94"
"21",2019-03-25 21:00:00,"0.5","1015.8","18.1","92"
"22",2019-03-25 22:00:00,"0.0","1016.1","18.2","90"
"23",2019-03-25 23:00:00,"0.0","1016.5","17.7","89"
"24",2019-03-26 00:00:00,"0.0","1016.6","17.4","89"
