"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1013.3","17.3","97"
"2",2019-03-25 02:00:00,"0.0","1012.5","16.7","98"
"3",2019-03-25 03:00:00,"0.0","1012.5","16.6","98"
"4",2019-03-25 04:00:00,"0.0","1012.5","16.3","98"
"5",2019-03-25 05:00:00,"0.0","1013.5","16.4","98"
"6",2019-03-25 06:00:00,"0.0","1013.5","17.0","98"
"7",2019-03-25 07:00:00,"0.0","1013.7","17.5","98"
"8",2019-03-25 08:00:00,"0.0","1014.5","18.5","97"
"9",2019-03-25 09:00:00,"0.0","1015.4","20.5","87"
"10",2019-03-25 10:00:00,"0.0","1015.5","22.0","80"
"11",2019-03-25 11:00:00,"0.0","1015.5","22.3","80"
"12",2019-03-25 12:00:00,"0.0","1015.3","21.2","87"
"13",2019-03-25 13:00:00,"0.0","1014.6","23.1","78"
"14",2019-03-25 14:00:00,"0.0","1013.6","22.5","81"
"15",2019-03-25 15:00:00,"0.0","1013.2","22.1","85"
"16",2019-03-25 16:00:00,"0.0","1013.1","21.9","85"
"17",2019-03-25 17:00:00,"0.0","1013.0","21.4","88"
"18",2019-03-25 18:00:00,"0.0","1013.2","21.1","89"
"19",2019-03-25 19:00:00,"0.0","1013.4","20.4","92"
"20",2019-03-25 20:00:00,"0.0","1014.1","20.1","92"
"21",2019-03-25 21:00:00,"0.0","1014.7","19.7","93"
"22",2019-03-25 22:00:00,"0.0","1015.0","19.1","95"
"23",2019-03-25 23:00:00,"0.0","1014.9","18.8","96"
"24",2019-03-26 00:00:00,"0.0","1015.0","18.6","95"
