"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1014.7","17.5","95"
"2",2019-03-25 02:00:00,"0.0","1013.7","17.3","96"
"3",2019-03-25 03:00:00,"0.0","1013.9","17.6","97"
"4",2019-03-25 04:00:00,"0.0","1014.0","17.3","96"
"5",2019-03-25 05:00:00,"0.0","1014.6","18.9","93"
"6",2019-03-25 06:00:00,"0.0","1014.6","18.0","95"
"7",2019-03-25 07:00:00,"0.0","1015.1","17.7","96"
"8",2019-03-25 08:00:00,"0.0","1016.0","18.4","95"
"9",2019-03-25 09:00:00,"0.0","1016.6","19.5","91"
"10",2019-03-25 10:00:00,"0.0","1016.8","20.2","89"
"11",2019-03-25 11:00:00,"0.0","1016.8","20.3","91"
"12",2019-03-25 12:00:00,"0.0","1016.9","20.4","91"
"13",2019-03-25 13:00:00,"0.0","1016.1","20.4","88"
"14",2019-03-25 14:00:00,"0.0","1015.3","19.0","91"
"15",2019-03-25 15:00:00,"0.0","1015.0","20.2","87"
"16",2019-03-25 16:00:00,"0.0","1014.9","20.4","87"
"17",2019-03-25 17:00:00,"0.0","1014.5","20.7","86"
"18",2019-03-25 18:00:00,"0.0","1014.7","20.9","87"
"19",2019-03-25 19:00:00,"0.0","1014.8","20.6","90"
"20",2019-03-25 20:00:00,"0.0","1015.5","20.4","91"
"21",2019-03-25 21:00:00,"0.0","1016.2","20.3","92"
"22",2019-03-25 22:00:00,"0.0","1016.3","20.1","92"
"23",2019-03-25 23:00:00,"0.0","1016.5","20.1","94"
"24",2019-03-26 00:00:00,"0.0","1016.5","20.1","92"
