"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","995.2","18.2","100"
"2",2019-03-25 02:00:00,"0.0","994.4","18.4","100"
"3",2019-03-25 03:00:00,"0.0","994.6","18.1","100"
"4",2019-03-25 04:00:00,"0.0","995.1","18.1","100"
"5",2019-03-25 05:00:00,"0.0","995.5","18.5","100"
"6",2019-03-25 06:00:00,"0.0","995.7","18.7","100"
"7",2019-03-25 07:00:00,"0.0","995.7","19.2","100"
"8",2019-03-25 08:00:00,"0.0","996.4","19.8","96"
"9",2019-03-25 09:00:00,"0.0","997.4","19.9","97"
"10",2019-03-25 10:00:00,"0.0","998.2","19.9","97"
"11",2019-03-25 11:00:00,"0.5","997.8","19.9","100"
"12",2019-03-25 12:00:00,"0.5","997.7","20.3","100"
"13",2019-03-25 13:00:00,"0.0","997.6","19.9","100"
"14",2019-03-25 14:00:00,"4.0","996.9","17.9","100"
"15",2019-03-25 15:00:00,"0.5","996.2","19.8","100"
"16",2019-03-25 16:00:00,"0.0","996.1","21.5","98"
"17",2019-03-25 17:00:00,"0.0","995.7","21.7","91"
"18",2019-03-25 18:00:00,"0.0","995.9","20.7","96"
"19",2019-03-25 19:00:00,"0.0","996.1","20.1","100"
"20",2019-03-25 20:00:00,"0.0","996.6","19.6","100"
"21",2019-03-25 21:00:00,"0.0","997.1","19.3","100"
"22",2019-03-25 22:00:00,"0.0","997.4","18.8","100"
"23",2019-03-25 23:00:00,"0.0","997.4","18.3","100"
"24",2019-03-26 00:00:00,"0.0","997.4","18.2","100"
