"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","686.0","3.1","98"
"2",2019-03-25 02:00:00,"0.0","685.7","3.2","96"
"3",2019-03-25 03:00:00,"0.0","684.9","3.2","95"
"4",2019-03-25 04:00:00,"0.0","684.9","3.2","95"
"5",2019-03-25 05:00:00,"0.0","685.2","3.2","94"
"6",2019-03-25 06:00:00,"0.0","685.8","2.9","96"
"7",2019-03-25 07:00:00,"0.0","685.9","3.3","88"
"8",2019-03-25 08:00:00,"0.0","686.3","3.8","89"
"9",2019-03-25 09:00:00,"0.0","687.1","3.6","98"
"10",2019-03-25 10:00:00,"0.0","687.1","3.5","100"
"11",2019-03-25 11:00:00,"1.0","687.1","4.3","100"
"12",2019-03-25 12:00:00,"4.5","686.8","3.9","98"
"13",2019-03-25 13:00:00,"0.5","686.3","4.0","100"
"14",2019-03-25 14:00:00,"4.0","686.1","4.0","98"
"15",2019-03-25 15:00:00,"7.0","686.1","3.1","100"
"16",2019-03-25 16:00:00,"0.5","686.2","3.4","99"
"17",2019-03-25 17:00:00,"0.0","686.7","2.3","100"
"18",2019-03-25 18:00:00,"0.0","686.7","1.6","92"
"19",2019-03-25 19:00:00,"0.0","687.0","2.6","46"
"20",2019-03-25 20:00:00,"0.0","687.5","3.4","29"
"21",2019-03-25 21:00:00,"0.0","688.3","3.6","22"
"22",2019-03-25 22:00:00,"0.0","688.6","3.8","18"
"23",2019-03-25 23:00:00,"0.0","688.6","4.2","20"
"24",2019-03-26 00:00:00,"0.0","688.6","4.2","19"
