"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1012.5","17.8","89"
"2",2019-03-25 02:00:00,"0.0","1011.3","17.6","90"
"3",2019-03-25 03:00:00,"0.0","1011.2","17.5","90"
"4",2019-03-25 04:00:00,"0.0","1011.2","17.3","91"
"5",2019-03-25 05:00:00,"0.0","1011.8","17.5","91"
"6",2019-03-25 06:00:00,"0.0","1012.1","17.4","90"
"7",2019-03-25 07:00:00,"0.0","1012.5","17.8","89"
"8",2019-03-25 08:00:00,"0.0","1013.6","18.1","89"
"9",2019-03-25 09:00:00,"4.5","1013.4","18.4","91"
"10",2019-03-25 10:00:00,"0.5","1013.9","19.0","91"
"11",2019-03-25 11:00:00,"1.5","1014.0","19.3","91"
"12",2019-03-25 12:00:00,"0.5","1013.5","19.2","92"
"13",2019-03-25 13:00:00,"3.0","1013.0","18.6","92"
"14",2019-03-25 14:00:00,"7.5","1013.3","18.5","93"
"15",2019-03-25 15:00:00,"0.0","1012.7","18.9","90"
"16",2019-03-25 16:00:00,"0.0","1012.9","18.3","91"
"17",2019-03-25 17:00:00,"0.0","1012.7","18.4","89"
"18",2019-03-25 18:00:00,"0.0","1013.0","18.5","88"
"19",2019-03-25 19:00:00,"0.0","1013.7","18.0","90"
"20",2019-03-25 20:00:00,"0.0","1014.4","18.0","90"
"21",2019-03-25 21:00:00,"0.0","1015.2","18.0","91"
"22",2019-03-25 22:00:00,"0.0","1015.6","18.1","90"
"23",2019-03-25 23:00:00,"0.0","1015.8","18.3","89"
"24",2019-03-26 00:00:00,"0.0","/","/","/"
