"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1007.5","18.0","100"
"2",2019-03-25 02:00:00,"0.0","1006.5","17.8","100"
"3",2019-03-25 03:00:00,"0.0","1006.2","17.6","100"
"4",2019-03-25 04:00:00,"0.0","1006.9","17.6","100"
"5",2019-03-25 05:00:00,"0.0","1007.7","18.0","100"
"6",2019-03-25 06:00:00,"0.0","1007.8","17.9","100"
"7",2019-03-25 07:00:00,"0.0","1007.6","18.9","100"
"8",2019-03-25 08:00:00,"0.0","1008.3","20.8","100"
"9",2019-03-25 09:00:00,"0.0","1009.3","21.2","100"
"10",2019-03-25 10:00:00,"0.0","1009.9","21.0","100"
"11",2019-03-25 11:00:00,"0.0","1009.8","20.3","100"
"12",2019-03-25 12:00:00,"0.5","1009.7","19.9","100"
"13",2019-03-25 13:00:00,"0.5","1009.1","20.3","100"
"14",2019-03-25 14:00:00,"0.0","1008.4","20.1","100"
"15",2019-03-25 15:00:00,"1.5","1007.7","20.8","100"
"16",2019-03-25 16:00:00,"0.0","1007.6","21.4","100"
"17",2019-03-25 17:00:00,"0.0","1007.3","22.0","100"
"18",2019-03-25 18:00:00,"0.0","1007.4","22.4","100"
"19",2019-03-25 19:00:00,"0.0","1007.8","21.0","100"
"20",2019-03-25 20:00:00,"0.0","1008.2","20.5","100"
"21",2019-03-25 21:00:00,"0.0","1008.9","19.8","100"
"22",2019-03-25 22:00:00,"0.0","1009.3","19.4","100"
"23",2019-03-25 23:00:00,"0.0","1009.3","19.0","100"
"24",2019-03-26 00:00:00,"0.0","1009.4","18.7","100"
