"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","997.0","17.3","100"
"2",2019-03-25 02:00:00,"0.0","996.4","17.3","100"
"3",2019-03-25 03:00:00,"0.0","996.9","17.1","100"
"4",2019-03-25 04:00:00,"0.0","997.2","17.3","100"
"5",2019-03-25 05:00:00,"0.0","997.5","17.7","100"
"6",2019-03-25 06:00:00,"0.0","997.3","17.9","100"
"7",2019-03-25 07:00:00,"0.0","997.7","18.2","99"
"8",2019-03-25 08:00:00,"0.0","/","/","/"
"9",2019-03-25 09:00:00,"0.0","999.2","18.9","98"
"10",2019-03-25 10:00:00,"2.5","1000.3","18.3","100"
"11",2019-03-25 11:00:00,"1.0","999.4","18.8","100"
"12",2019-03-25 12:00:00,"1.0","999.7","18.9","100"
"13",2019-03-25 13:00:00,"2.5","999.7","16.7","100"
"14",2019-03-25 14:00:00,"6.5","998.8","16.4","100"
"15",2019-03-25 15:00:00,"1.5","998.6","18.5","100"
"16",2019-03-25 16:00:00,"1.0","998.5","18.9","99"
"17",2019-03-25 17:00:00,"0.0","997.7","19.6","99"
"18",2019-03-25 18:00:00,"0.0","998.4","19.5","99"
"19",2019-03-25 19:00:00,"0.0","998.6","18.3","100"
"20",2019-03-25 20:00:00,"0.0","999.0","18.0","100"
"21",2019-03-25 21:00:00,"0.0","999.7","18.0","100"
"22",2019-03-25 22:00:00,"0.0","1000.4","17.7","100"
"23",2019-03-25 23:00:00,"0.0","1000.4","17.8","100"
"24",2019-03-26 00:00:00,"0.0","1000.2","17.8","100"
