"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1012.5","16.4","95"
"2",2019-03-25 02:00:00,"0.0","1011.6","16.3","95"
"3",2019-03-25 03:00:00,"0.0","1011.8","16.0","96"
"4",2019-03-25 04:00:00,"0.0","1011.8","16.5","96"
"5",2019-03-25 05:00:00,"0.0","1012.2","16.7","96"
"6",2019-03-25 06:00:00,"0.0","1012.3","16.8","96"
"7",2019-03-25 07:00:00,"0.0","1012.8","17.3","95"
"8",2019-03-25 08:00:00,"0.0","1014.0","17.7","94"
"9",2019-03-25 09:00:00,"0.0","1013.8","18.0","94"
"10",2019-03-25 10:00:00,"2.0","1014.2","18.7","94"
"11",2019-03-25 11:00:00,"6.5","1014.5","19.0","96"
"12",2019-03-25 12:00:00,"0.0","1014.0","19.1","94"
"13",2019-03-25 13:00:00,"2.0","1014.1","18.4","93"
"14",2019-03-25 14:00:00,"7.0","1014.0","18.1","95"
"15",2019-03-25 15:00:00,"0.5","1013.6","18.3","94"
"16",2019-03-25 16:00:00,"0.0","1013.5","18.2","93"
"17",2019-03-25 17:00:00,"0.0","1013.3","18.3","92"
"18",2019-03-25 18:00:00,"0.0","1013.8","18.3","92"
"19",2019-03-25 19:00:00,"0.0","1014.3","18.2","92"
"20",2019-03-25 20:00:00,"0.0","1014.8","18.1","93"
"21",2019-03-25 21:00:00,"0.0","1015.7","18.0","95"
"22",2019-03-25 22:00:00,"0.0","1016.1","17.8","95"
"23",2019-03-25 23:00:00,"0.0","1016.3","17.6","97"
"24",2019-03-26 00:00:00,"0.0","1016.4","17.6","97"
