"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","997.5","18.0","100"
"2",2019-03-25 02:00:00,"0.0","996.8","18.2","100"
"3",2019-03-25 03:00:00,"0.0","997.3","17.9","100"
"4",2019-03-25 04:00:00,"0.0","997.6","17.9","100"
"5",2019-03-25 05:00:00,"0.0","997.9","18.2","100"
"6",2019-03-25 06:00:00,"X","997.8","18.5","100"
"7",2019-03-25 07:00:00,"0.0","998.2","19.0","100"
"8",2019-03-25 08:00:00,"0.0","999.2","19.4","100"
"9",2019-03-25 09:00:00,"0.0","/","/","/"
"10",2019-03-25 10:00:00,"0.5","1000.6","19.3","100"
"11",2019-03-25 11:00:00,"0.0","1000.0","19.4","100"
"12",2019-03-25 12:00:00,"0.5","1000.3","20.0","100"
"13",2019-03-25 13:00:00,"1.0","1000.1","17.4","100"
"14",2019-03-25 14:00:00,"5.5","999.4","17.1","100"
"15",2019-03-25 15:00:00,"0.0","/","/","/"
"16",2019-03-25 16:00:00,"X","/","/","/"
"17",2019-03-25 17:00:00,"0.0","998.4","20.1","100"
"18",2019-03-25 18:00:00,"0.0","998.5","19.8","100"
"19",2019-03-25 19:00:00,"0.0","998.8","19.4","100"
"20",2019-03-25 20:00:00,"X","999.2","18.9","100"
"21",2019-03-25 21:00:00,"0.0","999.5","18.7","100"
"22",2019-03-25 22:00:00,"0.0","1000.2","18.4","100"
"23",2019-03-25 23:00:00,"0.0","1000.1","18.1","100"
"24",2019-03-26 00:00:00,"0.0","1000.3","17.8","100"
