"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","999.0","17.3","100"
"2",2019-03-25 02:00:00,"0.0","998.1","18.0","99"
"3",2019-03-25 03:00:00,"0.0","997.8","18.2","97"
"4",2019-03-25 04:00:00,"0.0","998.1","16.9","99"
"5",2019-03-25 05:00:00,"0.0","998.8","16.7","100"
"6",2019-03-25 06:00:00,"0.0","999.1","16.4","100"
"7",2019-03-25 07:00:00,"0.0","999.4","17.1","100"
"8",2019-03-25 08:00:00,"0.0","1000.1","18.5","99"
"9",2019-03-25 09:00:00,"0.0","1000.9","21.2","89"
"10",2019-03-25 10:00:00,"0.0","1000.8","23.1","85"
"11",2019-03-25 11:00:00,"0.0","1000.8","22.8","81"
"12",2019-03-25 12:00:00,"0.0","1000.4","22.8","81"
"13",2019-03-25 13:00:00,"0.0","999.9","24.2","74"
"14",2019-03-25 14:00:00,"0.0","999.0","23.6","79"
"15",2019-03-25 15:00:00,"0.0","998.6","23.4","78"
"16",2019-03-25 16:00:00,"0.0","998.3","23.5","79"
"17",2019-03-25 17:00:00,"0.0","998.0","22.7","89"
"18",2019-03-25 18:00:00,"0.0","998.0","21.4","93"
"19",2019-03-25 19:00:00,"0.0","998.7","20.2","99"
"20",2019-03-25 20:00:00,"0.0","999.1","19.9","100"
"21",2019-03-25 21:00:00,"0.0","999.9","19.5","100"
"22",2019-03-25 22:00:00,"0.0","1000.1","19.2","100"
"23",2019-03-25 23:00:00,"0.0","1000.1","19.0","100"
"24",2019-03-26 00:00:00,"0.0","1000.1","18.7","100"
