"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","905.0","13.7","99"
"2",2019-03-25 02:00:00,"0.0","904.0","13.8","99"
"3",2019-03-25 03:00:00,"0.0","904.0","13.8","99"
"4",2019-03-25 04:00:00,"0.0","/","/","/"
"5",2019-03-25 05:00:00,"0.0","904.1","14.4","99"
"6",2019-03-25 06:00:00,"0.0","904.7","14.2","99"
"7",2019-03-25 07:00:00,"0.5","905.4","15.1","99"
"8",2019-03-25 08:00:00,"0.0","905.8","16.8","99"
"9",2019-03-25 09:00:00,"0.0","906.7","17.8","99"
"10",2019-03-25 10:00:00,"0.0","906.9","19.9","99"
"11",2019-03-25 11:00:00,"0.0","906.8","22.2","97"
"12",2019-03-25 12:00:00,"X","906.5","21.5","98"
"13",2019-03-25 13:00:00,"0.0","906.1","20.6","98"
"14",2019-03-25 14:00:00,"0.0","905.6","21.6","95"
"15",2019-03-25 15:00:00,"0.0","905.3","20.5","98"
"16",2019-03-25 16:00:00,"0.0","905.2","20.2","99"
"17",2019-03-25 17:00:00,"0.0","905.0","19.5","99"
"18",2019-03-25 18:00:00,"0.0","904.9","18.2","99"
"19",2019-03-25 19:00:00,"0.0","905.3","17.0","99"
"20",2019-03-25 20:00:00,"0.0","905.9","16.7","99"
"21",2019-03-25 21:00:00,"0.0","906.4","16.4","99"
"22",2019-03-25 22:00:00,"0.0","906.6","16.0","99"
"23",2019-03-25 23:00:00,"0.0","906.5","15.7","99"
"24",2019-03-26 00:00:00,"0.0","906.3","15.9","99"
