"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1013.1","16.9","93"
"2",2019-03-25 02:00:00,"0.0","1012.3","16.6","93"
"3",2019-03-25 03:00:00,"0.0","1012.1","16.8","94"
"4",2019-03-25 04:00:00,"0.0","1012.3","17.1","93"
"5",2019-03-25 05:00:00,"0.0","1012.7","17.8","92"
"6",2019-03-25 06:00:00,"0.3","1013.0","18.0","89"
"7",2019-03-25 07:00:00,"0.2","1013.7","18.5","90"
"8",2019-03-25 08:00:00,"0.1","1014.9","17.9","90"
"9",2019-03-25 09:00:00,"3.0","1014.9","18.2","92"
"10",2019-03-25 10:00:00,"2.7","1015.6","18.5","93"
"11",2019-03-25 11:00:00,"1.3","1015.5","18.6","93"
"12",2019-03-25 12:00:00,"0.1","1016.0","17.1","91"
"13",2019-03-25 13:00:00,"8.5","1015.1","17.5","96"
"14",2019-03-25 14:00:00,"1.7","1014.2","17.8","95"
"15",2019-03-25 15:00:00,"0.1","1014.6","17.8","94"
"16",2019-03-25 16:00:00,"0.0","1014.3","18.0","98"
"17",2019-03-25 17:00:00,"0.0","1014.3","18.2","98"
"18",2019-03-25 18:00:00,"0.0","1014.3","18.2","93"
"19",2019-03-25 19:00:00,"0.0","1014.6","18.2","94"
"20",2019-03-25 20:00:00,"0.0","1015.4","18.2","94"
"21",2019-03-25 21:00:00,"0.0","1016.1","18.2","94"
"22",2019-03-25 22:00:00,"0.0","1016.4","18.2","94"
"23",2019-03-25 23:00:00,"0.0","1016.6","18.2","93"
"24",2019-03-26 00:00:00,"0.0","1016.7","18.1","92"
