"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","997.3","16.0","88"
"2",2019-03-25 02:00:00,"0.0","996.6","15.9","87"
"3",2019-03-25 03:00:00,"0.0","996.0","15.9","89"
"4",2019-03-25 04:00:00,"0.0","995.4","16.1","88"
"5",2019-03-25 05:00:00,"0.0","995.6","15.4","90"
"6",2019-03-25 06:00:00,"0.0","995.9","16.2","86"
"7",2019-03-25 07:00:00,"0.0","996.4","16.6","88"
"8",2019-03-25 08:00:00,"0.0","996.6","20.5","70"
"9",2019-03-25 09:00:00,"0.0","996.6","22.3","69"
"10",2019-03-25 10:00:00,"0.0","996.3","23.0","65"
"11",2019-03-25 11:00:00,"0.0","996.2","26.2","50"
"12",2019-03-25 12:00:00,"0.0","996.1","24.7","60"
"13",2019-03-25 13:00:00,"0.0","995.4","23.0","72"
"14",2019-03-25 14:00:00,"0.0","994.6","24.6","63"
"15",2019-03-25 15:00:00,"0.0","994.6","24.0","62"
"16",2019-03-25 16:00:00,"0.0","995.3","21.9","76"
"17",2019-03-25 17:00:00,"0.5","995.6","21.2","85"
"18",2019-03-25 18:00:00,"0.0","995.4","20.1","89"
"19",2019-03-25 19:00:00,"0.0","995.8","19.8","89"
"20",2019-03-25 20:00:00,"0.0","997.0","19.2","89"
"21",2019-03-25 21:00:00,"0.0","998.0","18.9","87"
"22",2019-03-25 22:00:00,"0.0","998.5","19.3","83"
"23",2019-03-25 23:00:00,"0.0","998.9","19.3","82"
"24",2019-03-26 00:00:00,"0.0","999.1","19.5","78"
