"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1011.1","17.4","99"
"2",2019-03-25 02:00:00,"0.0","1010.0","17.5","100"
"3",2019-03-25 03:00:00,"0.0","1010.1","17.2","100"
"4",2019-03-25 04:00:00,"0.0","1010.4","16.7","99"
"5",2019-03-25 05:00:00,"0.0","1011.3","17.0","99"
"6",2019-03-25 06:00:00,"0.0","1011.3","17.4","99"
"7",2019-03-25 07:00:00,"0.0","1011.4","18.2","99"
"8",2019-03-25 08:00:00,"0.0","1012.1","19.7","94"
"9",2019-03-25 09:00:00,"0.0","1013.0","20.2","100"
"10",2019-03-25 10:00:00,"0.0","1013.4","19.9","100"
"11",2019-03-25 11:00:00,"1.0","1013.5","19.4","100"
"12",2019-03-25 12:00:00,"0.0","1013.2","19.6","100"
"13",2019-03-25 13:00:00,"0.0","1012.5","20.2","100"
"14",2019-03-25 14:00:00,"0.0","1011.6","19.0","100"
"15",2019-03-25 15:00:00,"0.0","1011.4","19.8","100"
"16",2019-03-25 16:00:00,"0.0","1011.2","20.4","100"
"17",2019-03-25 17:00:00,"0.0","1011.0","21.2","100"
"18",2019-03-25 18:00:00,"0.0","1010.9","21.2","99"
"19",2019-03-25 19:00:00,"0.0","1011.3","20.3","100"
"20",2019-03-25 20:00:00,"0.0","1011.8","19.9","100"
"21",2019-03-25 21:00:00,"0.0","1012.5","19.3","100"
"22",2019-03-25 22:00:00,"0.0","1012.6","18.8","100"
"23",2019-03-25 23:00:00,"0.0","1012.7","18.5","99"
"24",2019-03-26 00:00:00,"0.0","1012.9","18.7","99"
