"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1012.6","19.0","100"
"2",2019-03-25 02:00:00,"0.0","1011.3","18.5","100"
"3",2019-03-25 03:00:00,"0.0","1011.2","18.5","100"
"4",2019-03-25 04:00:00,"0.0","1010.9","19.0","97"
"5",2019-03-25 05:00:00,"0.0","1011.5","18.1","100"
"6",2019-03-25 06:00:00,"0.0","1012.3","18.2","100"
"7",2019-03-25 07:00:00,"0.0","1013.1","19.0","100"
"8",2019-03-25 08:00:00,"0.0","1013.3","22.6","79"
"9",2019-03-25 09:00:00,"0.0","1013.8","24.1","68"
"10",2019-03-25 10:00:00,"0.0","1013.6","25.2","64"
"11",2019-03-25 11:00:00,"0.0","1013.0","26.8","59"
"12",2019-03-25 12:00:00,"X","1012.7","28.2","56"
"13",2019-03-25 13:00:00,"0.0","1011.8","28.9","55"
"14",2019-03-25 14:00:00,"0.0","1010.9","29.5","53"
"15",2019-03-25 15:00:00,"0.0","1010.5","28.9","54"
"16",2019-03-25 16:00:00,"0.0","1010.1","29.3","53"
"17",2019-03-25 17:00:00,"0.0","1009.8","28.7","55"
"18",2019-03-25 18:00:00,"0.0","1010.1","27.8","58"
"19",2019-03-25 19:00:00,"0.0","1010.7","26.0","66"
"20",2019-03-25 20:00:00,"0.0","1011.6","24.8","73"
"21",2019-03-25 21:00:00,"0.0","1012.2","23.8","77"
"22",2019-03-25 22:00:00,"0.0","1012.7","23.4","81"
"23",2019-03-25 23:00:00,"0.0","1012.7","22.4","86"
"24",2019-03-26 00:00:00,"0.0","1012.8","21.8","87"
