"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","954.9","16.5","100"
"2",2019-03-25 02:00:00,"0.0","954.0","17.3","100"
"3",2019-03-25 03:00:00,"0.0","954.0","16.9","100"
"4",2019-03-25 04:00:00,"0.0","954.5","15.9","100"
"5",2019-03-25 05:00:00,"0.0","955.2","15.8","100"
"6",2019-03-25 06:00:00,"0.0","955.3","15.8","100"
"7",2019-03-25 07:00:00,"0.0","955.4","16.9","100"
"8",2019-03-25 08:00:00,"0.0","956.4","18.0","100"
"9",2019-03-25 09:00:00,"0.0","956.4","18.5","99"
"10",2019-03-25 10:00:00,"0.0","957.6","17.8","100"
"11",2019-03-25 11:00:00,"0.0","957.5","17.3","100"
"12",2019-03-25 12:00:00,"0.5","957.5","18.5","100"
"13",2019-03-25 13:00:00,"0.0","956.4","18.3","100"
"14",2019-03-25 14:00:00,"3.5","956.4","17.4","100"
"15",2019-03-25 15:00:00,"0.5","956.4","17.0","100"
"16",2019-03-25 16:00:00,"0.0","956.4","18.5","100"
"17",2019-03-25 17:00:00,"0.0","955.5","19.8","100"
"18",2019-03-25 18:00:00,"0.0","955.8","19.6","100"
"19",2019-03-25 19:00:00,"0.0","956.1","18.9","100"
"20",2019-03-25 20:00:00,"0.0","956.4","18.9","100"
"21",2019-03-25 21:00:00,"0.0","956.4","18.5","99"
"22",2019-03-25 22:00:00,"0.0","957.3","17.9","99"
"23",2019-03-25 23:00:00,"0.0","956.4","17.4","99"
"24",2019-03-26 00:00:00,"0.0","956.4","16.6","100"
