"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1009.8","17.5","100"
"2",2019-03-25 02:00:00,"0.0","1008.8","17.3","100"
"3",2019-03-25 03:00:00,"0.0","1008.9","17.3","100"
"4",2019-03-25 04:00:00,"0.0","1009.2","17.1","100"
"5",2019-03-25 05:00:00,"0.0","1010.2","17.3","100"
"6",2019-03-25 06:00:00,"0.0","1010.0","17.6","100"
"7",2019-03-25 07:00:00,"0.0","1010.2","18.1","100"
"8",2019-03-25 08:00:00,"0.0","1010.9","19.1","100"
"9",2019-03-25 09:00:00,"0.0","1011.7","19.8","100"
"10",2019-03-25 10:00:00,"0.0","1012.2","19.7","100"
"11",2019-03-25 11:00:00,"0.5","1012.3","19.6","100"
"12",2019-03-25 12:00:00,"0.5","1012.0","19.7","100"
"13",2019-03-25 13:00:00,"0.0","1011.2","19.8","100"
"14",2019-03-25 14:00:00,"0.0","1010.4","18.8","100"
"15",2019-03-25 15:00:00,"0.5","1010.3","19.5","100"
"16",2019-03-25 16:00:00,"0.0","1010.1","20.4","100"
"17",2019-03-25 17:00:00,"0.0","1009.8","21.3","98"
"18",2019-03-25 18:00:00,"0.0","1009.7","21.2","99"
"19",2019-03-25 19:00:00,"0.0","1010.1","20.2","100"
"20",2019-03-25 20:00:00,"0.0","1010.5","19.7","100"
"21",2019-03-25 21:00:00,"0.0","1011.2","19.2","100"
"22",2019-03-25 22:00:00,"0.0","1011.4","18.9","100"
"23",2019-03-25 23:00:00,"0.0","1011.5","18.6","100"
"24",2019-03-26 00:00:00,"0.0","1011.7","18.8","100"
