"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","695.9","3.4","100"
"2",2019-03-25 02:00:00,"0.0","695.5","4.1","93"
"3",2019-03-25 03:00:00,"0.0","694.8","4.1","93"
"4",2019-03-25 04:00:00,"0.0","694.9","3.7","98"
"5",2019-03-25 05:00:00,"0.0","695.2","3.5","100"
"6",2019-03-25 06:00:00,"0.0","695.6","4.1","91"
"7",2019-03-25 07:00:00,"0.0","695.9","3.8","95"
"8",2019-03-25 08:00:00,"0.0","696.5","4.6","92"
"9",2019-03-25 09:00:00,"0.0","697.0","4.0","100"
"10",2019-03-25 10:00:00,"0.5","696.8","4.2","100"
"11",2019-03-25 11:00:00,"1.5","/","/","/"
"12",2019-03-25 12:00:00,"1.5","696.7","5.6","92"
"13",2019-03-25 13:00:00,"0.0","696.3","5.4","93"
"14",2019-03-25 14:00:00,"3.5","695.9","5.5","93"
"15",2019-03-25 15:00:00,"4.0","696.1","4.1","92"
"16",2019-03-25 16:00:00,"0.0","696.4","4.5","93"
"17",2019-03-25 17:00:00,"0.0","696.8","4.4","78"
"18",2019-03-25 18:00:00,"0.0","696.8","3.6","63"
"19",2019-03-25 19:00:00,"0.0","697.3","6.0","24"
"20",2019-03-25 20:00:00,"0.0","697.8","5.7","15"
"21",2019-03-25 21:00:00,"0.0","698.4","5.0","19"
"22",2019-03-25 22:00:00,"0.0","698.7","6.3","14"
"23",2019-03-25 23:00:00,"0.0","698.5","6.1","17"
"24",2019-03-26 00:00:00,"0.0","698.5","6.6","15"
