"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"1.5","662.4","1.2","100"
"2",2019-03-25 02:00:00,"1.5","661.8","1.3","100"
"3",2019-03-25 03:00:00,"1.5","661.5","1.3","100"
"4",2019-03-25 04:00:00,"1.5","661.3","1.4","100"
"5",2019-03-25 05:00:00,"2.0","661.6","1.3","100"
"6",2019-03-25 06:00:00,"1.5","662.0","0.9","100"
"7",2019-03-25 07:00:00,"1.0","662.3","0.9","100"
"8",2019-03-25 08:00:00,"1.0","663.0","1.0","100"
"9",2019-03-25 09:00:00,"1.5","663.4","1.4","100"
"10",2019-03-25 10:00:00,"2.0","663.5","1.8","100"
"11",2019-03-25 11:00:00,"4.0","663.7","2.1","100"
"12",2019-03-25 12:00:00,"5.5","663.3","1.7","100"
"13",2019-03-25 13:00:00,"2.5","662.7","2.3","100"
"14",2019-03-25 14:00:00,"6.5","662.2","2.0","100"
"15",2019-03-25 15:00:00,"7.0","662.6","0.6","100"
"16",2019-03-25 16:00:00,"1.5","662.2","1.3","100"
"17",2019-03-25 17:00:00,"1.0","662.4","0.6","100"
"18",2019-03-25 18:00:00,"0.0","663.1","0.3","94"
"19",2019-03-25 19:00:00,"0.0","663.5","0.4","57"
"20",2019-03-25 20:00:00,"0.0","664.3","0.1","39"
"21",2019-03-25 21:00:00,"0.0","665.1","0.6","28"
"22",2019-03-25 22:00:00,"0.0","665.5","0.6","25"
"23",2019-03-25 23:00:00,"0.0","665.5","0.3","25"
"24",2019-03-26 00:00:00,"0.0","665.3","-0.1","29"
