"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1014.5","18.1","86"
"2",2019-03-25 02:00:00,"0.0","1013.8","17.9","87"
"3",2019-03-25 03:00:00,"0.0","1013.4","17.8","87"
"4",2019-03-25 04:00:00,"0.0","1013.7","17.5","87"
"5",2019-03-25 05:00:00,"0.0","1014.4","17.4","88"
"6",2019-03-25 06:00:00,"0.0","1014.6","17.9","89"
"7",2019-03-25 07:00:00,"0.0","1015.2","18.1","89"
"8",2019-03-25 08:00:00,"0.0","1015.5","19.8","87"
"9",2019-03-25 09:00:00,"0.0","1016.1","22.4","79"
"10",2019-03-25 10:00:00,"0.0","1016.1","24.3","74"
"11",2019-03-25 11:00:00,"0.0","1016.1","25.6","70"
"12",2019-03-25 12:00:00,"0.0","1015.7","25.5","69"
"13",2019-03-25 13:00:00,"0.0","1015.0","26.4","69"
"14",2019-03-25 14:00:00,"0.0","1014.2","25.8","67"
"15",2019-03-25 15:00:00,"0.0","1013.8","25.3","68"
"16",2019-03-25 16:00:00,"0.0","1013.7","25.2","69"
"17",2019-03-25 17:00:00,"0.0","1013.4","24.5","72"
"18",2019-03-25 18:00:00,"0.0","1013.7","22.9","78"
"19",2019-03-25 19:00:00,"0.0","1014.3","21.6","81"
"20",2019-03-25 20:00:00,"0.0","1014.8","21.0","83"
"21",2019-03-25 21:00:00,"0.0","1015.5","20.7","83"
"22",2019-03-25 22:00:00,"0.0","1015.8","20.3","84"
"23",2019-03-25 23:00:00,"0.0","1015.7","19.8","86"
"24",2019-03-26 00:00:00,"0.0","1015.8","19.6","86"
