"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","642.0","0.7","100"
"2",2019-03-25 02:00:00,"0.0","641.5","0.8","100"
"3",2019-03-25 03:00:00,"0.0","641.1","1.0","100"
"4",2019-03-25 04:00:00,"0.0","641.0","1.1","100"
"5",2019-03-25 05:00:00,"0.0","641.1","1.3","100"
"6",2019-03-25 06:00:00,"0.0","641.4","1.6","100"
"7",2019-03-25 07:00:00,"0.0","642.2","1.4","100"
"8",2019-03-25 08:00:00,"0.0","642.5","1.5","100"
"9",2019-03-25 09:00:00,"0.0","643.1","1.8","100"
"10",2019-03-25 10:00:00,"0.0","643.4","2.1","100"
"11",2019-03-25 11:00:00,"0.0","643.2","2.2","100"
"12",2019-03-25 12:00:00,"0.0","643.0","2.7","100"
"13",2019-03-25 13:00:00,"0.0","642.7","3.1","100"
"14",2019-03-25 14:00:00,"0.5","642.3","2.8","100"
"15",2019-03-25 15:00:00,"2.5","642.0","2.9","100"
"16",2019-03-25 16:00:00,"1.0","642.5","2.2","100"
"17",2019-03-25 17:00:00,"T","642.5","1.7","100"
"18",2019-03-25 18:00:00,"T","642.5","0.5","100"
"19",2019-03-25 19:00:00,"0.0","642.7","0.2","100"
"20",2019-03-25 20:00:00,"0.0","643.4","-1.3","100"
"21",2019-03-25 21:00:00,"0.0","644.1","-2.6","82"
"22",2019-03-25 22:00:00,"0.0","644.5","-1.5","45"
"23",2019-03-25 23:00:00,"0.0","644.7","-0.3","31"
"24",2019-03-26 00:00:00,"0.0","644.8","0.7","22"
