"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1015.6","17.1","97"
"2",2019-03-25 02:00:00,"0.0","1014.6","17.2","97"
"3",2019-03-25 03:00:00,"0.0","1014.7","17.0","97"
"4",2019-03-25 04:00:00,"0.0","1014.8","16.9","97"
"5",2019-03-25 05:00:00,"0.0","1015.5","17.8","98"
"6",2019-03-25 06:00:00,"0.0","1015.5","17.4","97"
"7",2019-03-25 07:00:00,"0.0","1015.8","17.4","97"
"8",2019-03-25 08:00:00,"0.0","1016.6","18.5","96"
"9",2019-03-25 09:00:00,"0.0","1017.3","19.9","90"
"10",2019-03-25 10:00:00,"0.0","1017.6","20.1","87"
"11",2019-03-25 11:00:00,"0.0","1017.6","20.9","84"
"12",2019-03-25 12:00:00,"0.0","1017.4","21.0","86"
"13",2019-03-25 13:00:00,"0.0","1016.7","22.3","82"
"14",2019-03-25 14:00:00,"0.0","1016.1","21.9","85"
"15",2019-03-25 15:00:00,"0.0","1015.4","20.5","89"
"16",2019-03-25 16:00:00,"0.0","1015.2","21.1","86"
"17",2019-03-25 17:00:00,"0.0","1015.0","21.2","85"
"18",2019-03-25 18:00:00,"0.0","1015.3","21.1","87"
"19",2019-03-25 19:00:00,"0.0","1015.6","20.6","89"
"20",2019-03-25 20:00:00,"0.0","1016.2","20.1","93"
"21",2019-03-25 21:00:00,"0.0","1016.8","19.9","94"
"22",2019-03-25 22:00:00,"0.0","1017.0","19.8","94"
"23",2019-03-25 23:00:00,"0.0","1017.1","19.8","95"
"24",2019-03-26 00:00:00,"0.0","1017.1","19.7","96"
