"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1011.8","18.1","85"
"2",2019-03-25 02:00:00,"0.0","1010.9","18.2","85"
"3",2019-03-25 03:00:00,"0.0","1011.0","17.9","87"
"4",2019-03-25 04:00:00,"0.0","1010.9","17.9","89"
"5",2019-03-25 05:00:00,"0.0","1011.4","18.1","88"
"6",2019-03-25 06:00:00,"0.0","1011.7","18.2","88"
"7",2019-03-25 07:00:00,"0.0","1012.0","18.3","86"
"8",2019-03-25 08:00:00,"0.0","1013.2","18.6","85"
"9",2019-03-25 09:00:00,"1.0","1012.9","18.6","88"
"10",2019-03-25 10:00:00,"2.0","1013.5","18.7","92"
"11",2019-03-25 11:00:00,"4.5","1013.8","18.9","96"
"12",2019-03-25 12:00:00,"0.0","1013.2","19.6","94"
"13",2019-03-25 13:00:00,"2.0","1013.0","18.5","95"
"14",2019-03-25 14:00:00,"5.0","1013.1","18.5","94"
"15",2019-03-25 15:00:00,"0.0","1012.6","18.9","93"
"16",2019-03-25 16:00:00,"0.5","1012.5","18.8","92"
"17",2019-03-25 17:00:00,"X","1012.3","18.5","93"
"18",2019-03-25 18:00:00,"0.0","1012.7","18.4","93"
"19",2019-03-25 19:00:00,"0.0","1013.4","18.4","93"
"20",2019-03-25 20:00:00,"0.0","1014.0","18.4","94"
"21",2019-03-25 21:00:00,"0.0","1014.9","18.5","93"
"22",2019-03-25 22:00:00,"0.0","1015.4","18.7","93"
"23",2019-03-25 23:00:00,"0.0","1015.5","18.5","95"
"24",2019-03-26 00:00:00,"0.0","1015.7","17.9","95"
