"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1013.7","17.2","98"
"2",2019-03-25 02:00:00,"0.0","1012.6","16.9","98"
"3",2019-03-25 03:00:00,"0.0","1012.8","16.8","99"
"4",2019-03-25 04:00:00,"0.0","1013.0","16.8","99"
"5",2019-03-25 05:00:00,"0.0","1013.8","16.7","99"
"6",2019-03-25 06:00:00,"0.0","1013.7","17.1","99"
"7",2019-03-25 07:00:00,"0.0","1014.0","17.4","99"
"8",2019-03-25 08:00:00,"0.0","1014.7","18.2","99"
"9",2019-03-25 09:00:00,"0.0","1015.4","20.0","90"
"10",2019-03-25 10:00:00,"0.0","1015.8","20.1","91"
"11",2019-03-25 11:00:00,"0.0","1015.8","20.1","91"
"12",2019-03-25 12:00:00,"0.0","1015.6","20.5","87"
"13",2019-03-25 13:00:00,"0.0","1015.0","21.2","83"
"14",2019-03-25 14:00:00,"0.0","1014.1","20.6","91"
"15",2019-03-25 15:00:00,"0.0","1013.7","20.1","92"
"16",2019-03-25 16:00:00,"0.0","1013.4","20.5","90"
"17",2019-03-25 17:00:00,"0.0","1013.4","20.8","90"
"18",2019-03-25 18:00:00,"0.0","1013.4","21.1","89"
"19",2019-03-25 19:00:00,"0.0","1013.7","20.3","93"
"20",2019-03-25 20:00:00,"0.0","1014.4","19.7","95"
"21",2019-03-25 21:00:00,"0.0","1015.0","19.4","96"
"22",2019-03-25 22:00:00,"0.0","1015.2","19.4","95"
"23",2019-03-25 23:00:00,"0.0","1015.3","18.9","96"
"24",2019-03-26 00:00:00,"0.0","1015.3","18.9","96"
