"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","1011.9","17.8","99"
"2",2019-03-25 02:00:00,"0.0","1010.9","17.7","99"
"3",2019-03-25 03:00:00,"0.0","1011.0","17.7","99"
"4",2019-03-25 04:00:00,"0.0","1011.4","17.7","99"
"5",2019-03-25 05:00:00,"0.0","1012.2","17.9","99"
"6",2019-03-25 06:00:00,"0.0","1012.3","18.1","99"
"7",2019-03-25 07:00:00,"0.0","1012.2","18.6","99"
"8",2019-03-25 08:00:00,"0.0","1012.9","20.3","99"
"9",2019-03-25 09:00:00,"0.0","1013.9","20.7","99"
"10",2019-03-25 10:00:00,"0.0","1014.5","20.1","99"
"11",2019-03-25 11:00:00,"1.0","1014.3","20.1","99"
"12",2019-03-25 12:00:00,"0.5","1014.1","20.2","99"
"13",2019-03-25 13:00:00,"0.5","1013.6","20.0","99"
"14",2019-03-25 14:00:00,"1.0","1012.7","19.1","99"
"15",2019-03-25 15:00:00,"1.0","1012.3","20.1","99"
"16",2019-03-25 16:00:00,"0.0","1012.2","21.1","99"
"17",2019-03-25 17:00:00,"0.0","1011.8","22.3","99"
"18",2019-03-25 18:00:00,"0.0","1011.9","21.4","99"
"19",2019-03-25 19:00:00,"0.0","1012.3","20.7","99"
"20",2019-03-25 20:00:00,"0.0","1012.5","20.1","99"
"21",2019-03-25 21:00:00,"0.0","1013.2","19.6","99"
"22",2019-03-25 22:00:00,"0.0","1013.5","19.2","99"
"23",2019-03-25 23:00:00,"0.0","1013.6","18.9","99"
"24",2019-03-26 00:00:00,"0.0","1013.8","18.6","99"
