"","time","rf","Press","temperture","Hum"
"1",2019-03-25 01:00:00,"0.0","941.1","16.1","95"
"2",2019-03-25 02:00:00,"0.0","940.6","15.7","94"
"3",2019-03-25 03:00:00,"0.0","939.8","15.0","95"
"4",2019-03-25 04:00:00,"0.0","940.4","14.9","94"
"5",2019-03-25 05:00:00,"0.0","941.2","15.2","95"
"6",2019-03-25 06:00:00,"0.0","941.8","15.5","94"
"7",2019-03-25 07:00:00,"0.0","941.9","15.8","94"
"8",2019-03-25 08:00:00,"0.0","942.4","16.9","90"
"9",2019-03-25 09:00:00,"0.0","942.8","18.0","84"
"10",2019-03-25 10:00:00,"0.0","943.2","18.7","81"
"11",2019-03-25 11:00:00,"0.0","943.6","17.5","90"
"12",2019-03-25 12:00:00,"0.5","943.1","17.4","90"
"13",2019-03-25 13:00:00,"0.0","942.8","17.7","89"
"14",2019-03-25 14:00:00,"0.5","942.0","17.7","89"
"15",2019-03-25 15:00:00,"0.5","942.5","17.3","93"
"16",2019-03-25 16:00:00,"3.0","942.5","17.3","94"
"17",2019-03-25 17:00:00,"0.0","942.0","18.5","87"
"18",2019-03-25 18:00:00,"0.0","942.1","18.1","90"
"19",2019-03-25 19:00:00,"0.0","942.3","16.6","94"
"20",2019-03-25 20:00:00,"0.0","942.8","16.2","95"
"21",2019-03-25 21:00:00,"0.0","943.3","15.5","95"
"22",2019-03-25 22:00:00,"0.0","943.4","15.2","95"
"23",2019-03-25 23:00:00,"0.0","943.2","14.8","95"
"24",2019-03-26 00:00:00,"0.0","943.1","14.2","95"
